일시,평균기온
2023-01-01,1.6766282
2023-01-02,1.8326703
2023-01-03,2.1341562
2023-01-04,2.406127
2023-01-05,3.0335345
2023-01-06,2.9346795
2023-01-07,3.7771926
2023-01-08,4.872861
2023-01-09,5.2432547
2023-01-10,5.7358875
2023-01-11,6.053548
2023-01-12,6.7302885
2023-01-13,7.3887196
2023-01-14,7.7967663
2023-01-15,8.239481
2023-01-16,8.774445
2023-01-17,9.650356
2023-01-18,10.474171
2023-01-19,11.689554
2023-01-20,11.965422
2023-01-21,12.681921
2023-01-22,13.640314
2023-01-23,14.386711
2023-01-24,14.9641075
2023-01-25,15.946037
2023-01-26,16.626644
2023-01-27,17.728817
2023-01-28,18.256962
2023-01-29,18.975014
2023-01-30,19.004673
2023-01-31,19.00821
2023-02-01,2.4751668
2023-02-02,2.6298594
2023-02-03,2.7770047
2023-02-04,2.928093
2023-02-05,3.476017
2023-02-06,3.351369
2023-02-07,4.1857605
2023-02-08,4.9186144
2023-02-09,5.4633484
2023-02-10,5.801633
2023-02-11,6.2439785
2023-02-12,6.992158
2023-02-13,7.544565
2023-02-14,7.965596
2023-02-15,8.809217
2023-02-16,9.3170185
2023-02-17,10.049906
2023-02-18,10.444
2023-02-19,11.591036
2023-02-20,11.866903
2023-02-21,12.583403
2023-02-22,13.541796
2023-02-23,14.253099
2023-02-24,14.84268
2023-02-25,15.784603
2023-02-26,16.536217
2023-02-27,17.59365
2023-02-28,18.047016
2023-03-01,2.9441419
2023-03-02,3.034172
2023-03-03,3.224173
2023-03-04,3.3500247
2023-03-05,3.9267664
2023-03-06,3.868278
2023-03-07,4.748231
2023-03-08,5.4333324
2023-03-09,5.8668547
2023-03-10,6.3068295
2023-03-11,6.7916117
2023-03-12,7.494011
2023-03-13,8.080662
2023-03-14,8.528759
2023-03-15,8.723541
2023-03-16,9.638071
2023-03-17,10.26133
2023-03-18,10.683002
2023-03-19,11.76977
2023-03-20,11.995363
2023-03-21,12.740028
2023-03-22,13.670589
2023-03-23,14.445194
2023-03-24,15.0370865
2023-03-25,15.917978
2023-03-26,16.687527
2023-03-27,17.705566
2023-03-28,18.172321
2023-03-29,18.874443
2023-03-30,19.005604
2023-03-31,19.080193
2023-04-01,4.0713625
2023-04-02,4.153901
2023-04-03,4.308262
2023-04-04,4.464679
2023-04-05,4.3181686
2023-04-06,4.6572533
2023-04-07,5.2756004
2023-04-08,5.4345837
2023-04-09,6.1752405
2023-04-10,6.5725174
2023-04-11,7.0981073
2023-04-12,7.900835
2023-04-13,8.41744
2023-04-14,8.965952
2023-04-15,9.073729
2023-04-16,10.049622
2023-04-17,10.704309
2023-04-18,11.403816
2023-04-19,12.015776
2023-04-20,11.916264
2023-04-21,12.72019
2023-04-22,13.716932
2023-04-23,14.476269
2023-04-24,15.0658455
2023-04-25,16.040123
2023-04-26,16.870949
2023-04-27,17.85669
2023-04-28,18.28778
2023-04-29,19.043911
2023-04-30,19.06147
2023-05-01,4.8051805
2023-05-02,4.7841606
2023-05-03,5.03687
2023-05-04,5.0914507
2023-05-05,4.9449406
2023-05-06,5.319355
2023-05-07,5.7838516
2023-05-08,5.8318834
2023-05-09,6.574547
2023-05-10,7.125428
2023-05-11,7.677121
2023-05-12,8.399893
2023-05-13,8.826792
2023-05-14,9.404785
2023-05-15,9.455614
2023-05-16,10.263872
2023-05-17,11.129131
2023-05-18,11.858757
2023-05-19,12.635706
2023-05-20,12.721188
2023-05-21,13.178217
2023-05-22,14.073126
2023-05-23,14.710554
2023-05-24,15.248102
2023-05-25,16.18003
2023-05-26,16.974758
2023-05-27,17.960499
2023-05-28,18.39159
2023-05-29,19.14772
2023-05-30,19.266075
2023-05-31,19.368134
2023-06-01,5.9672337
2023-06-02,5.9815435
2023-06-03,6.201437
2023-06-04,6.2811785
2023-06-05,6.1231747
2023-06-06,6.4622574
2023-06-07,6.926757
2023-06-08,6.93659
