일시,평균기온
2023-01-01,-1.4937712
2023-01-02,-1.6197866
2023-01-03,-1.6408173
2023-01-04,-1.9248251
2023-01-05,-1.5557028
2023-01-06,-1.118055
2023-01-07,-1.118055
2023-01-08,-1.1226684
2023-01-09,-1.1528138
2023-01-10,-1.5594555
2023-01-11,-1.4471675
2023-01-12,-1.0822471
2023-01-13,-0.96798474
2023-01-14,-0.9627673
2023-01-15,-0.92323214
2023-01-16,-1.6540242
2023-01-17,-1.8376867
2023-01-18,-1.8376867
2023-01-19,-1.1533507
2023-01-20,-1.1103424
2023-01-21,-1.1533507
2023-01-22,-1.0712665
2023-01-23,-1.1533507
2023-01-24,-1.5280088
2023-01-25,-1.395239
2023-01-26,-1.2653505
2023-01-27,-1.2699641
2023-01-28,-1.2479299
2023-01-29,-1.2479299
2023-01-30,-1.2704853
2023-01-31,-1.2704853
2023-02-01,0.3502229
2023-02-02,0.17409265
2023-02-03,0.283963
2023-02-04,0.37734392
2023-02-05,0.967329
2023-02-06,1.3236357
2023-02-07,1.3021044
2023-02-08,1.303166
2023-02-09,1.5552369
2023-02-10,1.5541753
2023-02-11,1.8695024
2023-02-12,2.0448647
2023-02-13,2.5217214
2023-02-14,2.7058477
2023-02-15,2.728159
2023-02-16,1.8827523
2023-02-17,1.7827626
2023-02-18,1.8980147
2023-02-19,2.728159
2023-02-20,3.1358695
2023-02-21,2.9870825
2023-02-22,3.0293407
2023-02-23,2.701857
2023-02-24,2.820438
2023-02-25,2.787346
2023-02-26,2.891687
2023-02-27,2.891687
2023-02-28,3.004478
2023-03-01,6.2258554
2023-03-02,6.213224
2023-03-03,6.227779
2023-03-04,6.0491424
2023-03-05,6.26984
2023-03-06,6.5777
2023-03-07,6.633491
2023-03-08,6.633491
2023-03-09,6.6570354
2023-03-10,6.667929
2023-03-11,6.923249
2023-03-12,7.713057
2023-03-13,8.444967
2023-03-14,8.663862
2023-03-15,8.663862
2023-03-16,7.681771
2023-03-17,7.681771
2023-03-18,7.8435616
2023-03-19,8.939863
2023-03-20,9.0071335
2023-03-21,9.0071335
2023-03-22,9.0071335
2023-03-23,8.698917
2023-03-24,8.627699
2023-03-25,8.516354
2023-03-26,8.869213
2023-03-27,8.8155
2023-03-28,8.890623
2023-03-29,9.001062
2023-03-30,9.4457245
2023-03-31,8.946526
2023-04-01,11.699034
2023-04-02,11.51753
2023-04-03,11.705246
2023-04-04,12.096371
2023-04-05,12.563257
2023-04-06,12.77533
2023-04-07,12.708443
2023-04-08,12.708443
2023-04-09,12.790148
2023-04-10,12.874767
2023-04-11,13.346907
2023-04-12,13.777826
2023-04-13,13.988977
2023-04-14,14.092205
2023-04-15,14.126257
2023-04-16,13.331129
2023-04-17,13.116905
2023-04-18,13.331129
2023-04-19,14.296856
2023-04-20,14.582354
2023-04-21,14.694935
2023-04-22,14.700876
2023-04-23,14.809507
2023-04-24,14.809507
2023-04-25,14.503183
2023-04-26,14.736246
2023-04-27,14.6118145
2023-04-28,14.836023
2023-04-29,14.81531
2023-04-30,14.795761
2023-05-01,16.863102
2023-05-02,16.656578
2023-05-03,16.69373
2023-05-04,16.983849
2023-05-05,17.462994
2023-05-06,17.575497
2023-05-07,17.503307
2023-05-08,17.563557
2023-05-09,17.578987
2023-05-10,17.500751
2023-05-11,17.879105
2023-05-12,18.238514
2023-05-13,18.429485
2023-05-14,18.702633
2023-05-15,18.692814
2023-05-16,18.141193
2023-05-17,17.55709
2023-05-18,17.594872
2023-05-19,18.420353
2023-05-20,18.489532
2023-05-21,18.827389
2023-05-22,19.044304
2023-05-23,19.007782
2023-05-24,18.942558
2023-05-25,18.867348
2023-05-26,18.950684
2023-05-27,18.937664
2023-05-28,18.925594
2023-05-29,18.97786
2023-05-30,19.033249
2023-05-31,19.048847
2023-06-01,21.819996
2023-06-02,21.771538
2023-06-03,21.771538
2023-06-04,21.91275
2023-06-05,22.495987
2023-06-06,22.592594
2023-06-07,22.553684
2023-06-08,22.562084
2023-06-09,22.562084
2023-06-10,22.553684
2023-06-11,22.753296
2023-06-12,23.167164
2023-06-13,23.418636
2023-06-14,23.621643
2023-06-15,23.646435
2023-06-16,22.805836
2023-06-17,22.495987
2023-06-18,22.552567
2023-06-19,23.220638
2023-06-20,23.432007
2023-06-21,23.528435
2023-06-22,23.548325
2023-06-23,23.548325
2023-06-24,23.435059
2023-06-25,23.366825
2023-06-26,23.277645
2023-06-27,23.277645
2023-06-28,23.285675
2023-06-29,23.253674
2023-06-30,23.310043
2023-07-01,25.19027
2023-07-02,25.264172
2023-07-03,25.250183
2023-07-04,25.308369
2023-07-05,25.94294
2023-07-06,26.048939
2023-07-07,25.934383
2023-07-08,25.83762
2023-07-09,25.934383
2023-07-10,25.89906
2023-07-11,25.974594
2023-07-12,26.163643
2023-07-13,26.454605
2023-07-14,26.5275
2023-07-15,26.568176
2023-07-16,26.033123
2023-07-17,25.915714
2023-07-18,25.939663
2023-07-19,26.475967
2023-07-20,26.490421
2023-07-21,26.55534
2023-07-22,26.604465
2023-07-23,26.841793
2023-07-24,26.8227
2023-07-25,26.588486
2023-07-26,26.873337
2023-07-27,26.801468
2023-07-28,26.814041
2023-07-29,26.656303
2023-07-30,26.88303
2023-07-31,26.88303
2023-08-01,26.75394
2023-08-02,26.655567
2023-08-03,26.618519
2023-08-04,26.324791
2023-08-05,26.726814
2023-08-06,27.045303
2023-08-07,26.764004
2023-08-08,26.707832
2023-08-09,26.707832
2023-08-10,26.673973
2023-08-11,26.907589
2023-08-12,27.119614
2023-08-13,27.298489
2023-08-14,27.298489
2023-08-15,27.298489
2023-08-16,26.341469
2023-08-17,26.101025
2023-08-18,26.092266
2023-08-19,26.67596
2023-08-20,26.68472
2023-08-21,26.478199
2023-08-22,26.638966
2023-08-23,26.373932
2023-08-24,26.161812
2023-08-25,25.971844
2023-08-26,25.971844
2023-08-27,25.716602
2023-08-28,25.740734
2023-08-29,25.659447
2023-08-30,25.642624
2023-08-31,25.449795
2023-09-01,22.804577
2023-09-02,22.446888
2023-09-03,22.40947
2023-09-04,22.112663
2023-09-05,22.405182
2023-09-06,22.852718
2023-09-07,22.57159
2023-09-08,22.487724
2023-09-09,22.251808
2023-09-10,22.086544
2023-09-11,22.297
2023-09-12,22.391548
2023-09-13,22.962643
2023-09-14,22.866737
2023-09-15,22.866737
2023-09-16,21.705658
2023-09-17,21.251514
2023-09-18,21.251514
2023-09-19,21.694782
2023-09-20,21.756191
2023-09-21,21.591824
2023-09-22,21.756191
2023-09-23,21.3703
2023-09-24,21.251514
2023-09-25,21.188572
2023-09-26,21.006233
2023-09-27,20.738323
2023-09-28,20.723572
2023-09-29,20.553207
2023-09-30,20.549236
2023-10-01,16.796764
2023-10-02,16.656387
2023-10-03,16.656387
2023-10-04,16.182873
2023-10-05,16.652222
2023-10-06,16.81746
2023-10-07,16.61237
2023-10-08,16.61237
2023-10-09,16.256824
2023-10-10,16.040134
2023-10-11,15.929337
2023-10-12,16.355633
2023-10-13,16.6568
2023-10-14,16.586739
2023-10-15,16.161404
2023-10-16,15.188717
2023-10-17,14.823364
2023-10-18,14.899952
2023-10-19,15.207857
2023-10-20,15.285084
2023-10-21,15.189178
2023-10-22,15.2017975
2023-10-23,14.926987
2023-10-24,14.5203285
2023-10-25,14.006153
2023-10-26,14.035799
2023-10-27,13.827665
2023-10-28,13.9646015
2023-10-29,13.626978
2023-10-30,13.429243
2023-10-31,13.299259
2023-11-01,10.30522
2023-11-02,10.06292
2023-11-03,10.13806
2023-11-04,10.046156
