일시,평균기온
2023-01-01,-1.631819
2023-01-02,-1.7205052
2023-01-03,-1.6865752
2023-01-04,-1.8621087
2023-01-05,-1.6888716
2023-01-06,-1.3000851
2023-01-07,-1.3000851
2023-01-08,-1.3246036
2023-01-09,-1.278496
2023-01-10,-1.6415887
2023-01-11,-1.5468497
2023-01-12,-1.0079753
2023-01-13,-0.90849435
2023-01-14,-0.74111974
2023-01-15,-0.71780956
2023-01-16,-1.7127554
2023-01-17,-1.7989485
2023-01-18,-1.7989485
2023-01-19,-1.3000851
2023-01-20,-1.0295646
2023-01-21,-1.278496
2023-01-22,-0.9766942
2023-01-23,-1.278496
2023-01-24,-1.6180167
2023-01-25,-1.4426544
2023-01-26,-1.4016154
2023-01-27,-1.4426544
2023-01-28,-1.4240193
2023-01-29,-1.4240193
2023-01-30,-1.4504128
2023-01-31,-1.4504128
2023-02-01,0.5646112
2023-02-02,0.32090086
2023-02-03,0.4289873
2023-02-04,0.5287384
2023-02-05,0.958102
2023-02-06,1.268971
2023-02-07,1.3737338
2023-02-08,1.3737338
2023-02-09,1.576859
2023-02-10,1.6049988
2023-02-11,1.6318674
2023-02-12,2.0385475
2023-02-13,2.5010142
2023-02-14,2.5055733
2023-02-15,2.5300283
2023-02-16,1.8293438
2023-02-17,1.5181005
2023-02-18,1.8471231
2023-02-19,2.5300283
2023-02-20,2.9370155
2023-02-21,2.8514786
2023-02-22,3.0900588
2023-02-23,2.5239663
2023-02-24,2.6182065
2023-02-25,2.669899
2023-02-26,2.9941244
2023-02-27,2.913621
2023-02-28,2.999703
2023-03-01,5.7157187
2023-03-02,5.700567
2023-03-03,5.7157187
2023-03-04,5.7157187
2023-03-05,6.1503644
2023-03-06,6.376102
2023-03-07,6.4710355
2023-03-08,6.4710355
2023-03-09,6.6743474
2023-03-10,6.819755
2023-03-11,6.8662333
2023-03-12,7.666965
2023-03-13,8.489035
2023-03-14,8.545132
2023-03-15,8.545132
2023-03-16,7.498524
2023-03-17,7.6091027
2023-03-18,7.758694
2023-03-19,8.745827
2023-03-20,8.9841
2023-03-21,8.9841
2023-03-22,9.055918
2023-03-23,8.738274
2023-03-24,8.555498
2023-03-25,8.497145
2023-03-26,8.917849
2023-03-27,9.053324
2023-03-28,9.059681
2023-03-29,9.396191
2023-03-30,9.509527
2023-03-31,9.48687
2023-04-01,11.763151
2023-04-02,11.4019375
2023-04-03,11.835724
2023-04-04,12.025402
2023-04-05,12.711664
2023-04-06,12.805393
2023-04-07,12.736584
2023-04-08,12.736584
2023-04-09,12.87558
2023-04-10,12.854771
2023-04-11,13.252796
2023-04-12,13.773775
2023-04-13,14.037697
2023-04-14,14.068291
2023-04-15,14.073387
2023-04-16,13.224743
2023-04-17,12.950535
2023-04-18,13.224743
2023-04-19,14.320868
2023-04-20,14.496609
2023-04-21,14.577499
2023-04-22,14.685284
2023-04-23,14.805662
2023-04-24,14.805662
2023-04-25,14.406872
2023-04-26,14.489292
2023-04-27,14.489292
2023-04-28,14.805662
2023-04-29,14.877611
2023-04-30,14.778091
2023-05-01,16.708673
2023-05-02,16.568892
