일시,평균기온
2023-01-01,-2.104852
2023-01-02,-2.1824818
2023-01-03,-1.7805165
2023-01-04,-2.441333
2023-01-05,-2.7758043
2023-01-06,-1.8380142
2023-01-07,-1.9364421
2023-01-08,-1.6701541
2023-01-09,-1.2911913
2023-01-10,-1.3225213
2023-01-11,-1.4735177
2023-01-12,-1.3815911
2023-01-13,-1.7705492
2023-01-14,-2.3547785
2023-01-15,-2.3598595
2023-01-16,-2.94916
2023-01-17,-3.268609
2023-01-18,-2.8496609
2023-01-19,-2.31633
2023-01-20,-2.2310355
2023-01-21,-2.226722
2023-01-22,-2.1305194
2023-01-23,-2.3469436
2023-01-24,-2.4364269
2023-01-25,-1.7247615
2023-01-26,-1.4732094
2023-01-27,-1.5712975
2023-01-28,-1.4757277
2023-01-29,-1.87692
2023-01-30,-2.6087713
2023-01-31,-1.6879212
2023-02-01,-3.3179703
2023-02-02,-3.388918
2023-02-03,-2.4058797
2023-02-04,-2.3126876
2023-02-05,-1.9357439
2023-02-06,-1.1270806
2023-02-07,-1.5620624
2023-02-08,-0.9938746
2023-02-09,-0.4139424
2023-02-10,-0.32203904
2023-02-11,0.0036813451
2023-02-12,0.9764288
2023-02-13,1.1609743
2023-02-14,0.47610158
2023-02-15,-0.28511217
2023-02-16,-0.825127
2023-02-17,-0.79860365
2023-02-18,-0.38309017
2023-02-19,0.7104366
2023-02-20,0.8100756
2023-02-21,0.9155207
2023-02-22,1.082647
2023-02-23,1.4013606
2023-02-24,0.9730595
2023-02-25,1.9047353
2023-02-26,2.420118
2023-02-27,2.4776702
2023-02-28,2.8103356
2023-03-01,4.739813
2023-03-02,4.730638
2023-03-03,5.755722
2023-03-04,5.5865006
2023-03-05,5.5472136
2023-03-06,5.5698347
2023-03-07,5.814766
2023-03-08,6.358909
2023-03-09,6.8783965
2023-03-10,7.1276965
2023-03-11,7.578254
2023-03-12,8.34516
2023-03-13,8.136658
2023-03-14,7.956181
2023-03-15,7.763066
2023-03-16,7.353943
2023-03-17,7.281026
2023-03-18,7.9900284
2023-03-19,8.399801
2023-03-20,8.749745
2023-03-21,8.965452
2023-03-22,8.969727
2023-03-23,8.573436
2023-03-24,8.645154
2023-03-25,9.217133
2023-03-26,9.753383
2023-03-27,10.3665085
2023-03-28,11.000823
2023-03-29,10.52091
2023-03-30,10.139013
2023-03-31,10.467102
2023-04-01,10.428789
2023-04-02,10.622506
2023-04-03,11.036423
2023-04-04,11.458718
2023-04-05,11.5985155
2023-04-06,12.02306
2023-04-07,12.237531
2023-04-08,12.584224
2023-04-09,13.485536
2023-04-10,13.897847
2023-04-11,14.148606
2023-04-12,14.47373
2023-04-13,14.06258
2023-04-14,14.057095
2023-04-15,13.70501
2023-04-16,13.163174
2023-04-17,13.172515
