일시,평균기온
2023-01-01,-1.5155281
2023-01-02,-1.510624
2023-01-03,-1.4146812
2023-01-04,-1.3537333
2023-01-05,-1.5525032
2023-01-06,-1.4747823
2023-01-07,-1.3535069
2023-01-08,-1.3535069
2023-01-09,-1.1564839
2023-01-10,-1.2142359
2023-01-11,-1.2791576
2023-01-12,-1.0863315
2023-01-13,-1.1564045
2023-01-14,-1.0776582
2023-01-15,-1.2085568
2023-01-16,-1.5240577
2023-01-17,-1.5159761
2023-01-18,-1.4747823
2023-01-19,-1.3964332
2023-01-20,-1.250522
2023-01-21,-0.82114506
2023-01-22,-1.1884712
2023-01-23,-1.1029084
2023-01-24,-1.2085568
2023-01-25,-1.1397547
2023-01-26,-1.2085568
2023-01-27,-1.0904797
2023-01-28,-0.90866387
2023-01-29,-1.1915323
2023-01-30,-1.3774441
2023-01-31,-0.8917451
2023-02-01,0.6924677
2023-02-02,0.49425414
2023-02-03,0.49425414
2023-02-04,0.8391073
2023-02-05,1.0896711
2023-02-06,1.0541314
2023-02-07,0.8414575
2023-02-08,1.310136
2023-02-09,1.4302298
2023-02-10,1.1164864
2023-02-11,1.2550278
2023-02-12,1.3804783
2023-02-13,1.6043874
2023-02-14,1.8387641
2023-02-15,1.4967941
2023-02-16,1.3110477
2023-02-17,1.4787863
2023-02-18,1.8424327
2023-02-19,2.0206616
2023-02-20,2.2034311
2023-02-21,2.2390487
2023-02-22,2.270248
2023-02-23,2.270248
2023-02-24,1.9758766
2023-02-25,2.0702615
2023-02-26,2.1973178
2023-02-27,2.3104196
2023-02-28,2.4697337
2023-03-01,5.732784
2023-03-02,5.7492537
2023-03-03,5.5221114
2023-03-04,5.8869104
2023-03-05,6.065922
2023-03-06,5.8951397
2023-03-07,5.855569
2023-03-08,6.113955
2023-03-09,6.257597
2023-03-10,5.9187317
2023-03-11,5.8193207
2023-03-12,6.3496776
2023-03-13,6.522509
2023-03-14,7.0591564
2023-03-15,7.1976895
2023-03-16,6.768622
2023-03-17,7.0591564
2023-03-18,7.1976895
2023-03-19,8.00072
2023-03-20,8.294307
2023-03-21,8.410452
2023-03-22,8.393175
2023-03-23,8.16699
2023-03-24,8.094676
2023-03-25,7.9788456
2023-03-26,8.116101
2023-03-27,8.269946
2023-03-28,8.288502
2023-03-29,8.223814
2023-03-30,7.993642
2023-03-31,8.3666115
2023-04-01,12.20335
2023-04-02,12.553841
2023-04-03,12.226971
2023-04-04,12.59754
2023-04-05,12.585293
2023-04-06,12.65789
2023-04-07,12.65789
2023-04-08,12.632253
2023-04-09,12.889201
2023-04-10,12.906611
2023-04-11,12.594944
2023-04-12,13.118726
2023-04-13,13.412763
2023-04-14,13.556401
2023-04-15,13.489081
2023-04-16,13.205012
2023-04-17,13.416251
2023-04-18,13.439129
2023-04-19,13.770259
2023-04-20,13.922331
2023-04-21,14.352835
2023-04-22,14.166019
2023-04-23,14.166019
2023-04-24,14.0987015
2023-04-25,13.844427
2023-04-26,14.106204
