일시,평균기온
2023-01-01,-1.6678959
2023-01-02,-1.6734068
2023-01-03,-1.628799
2023-01-04,-1.533652
2023-01-05,-1.8889129
2023-01-06,-1.6245283
2023-01-07,-1.5655296
2023-01-08,-1.6583121
2023-01-09,-1.3392532
2023-01-10,-1.4297972
2023-01-11,-1.3382107
2023-01-12,-1.4253287
2023-01-13,-1.4253287
2023-01-14,-1.4253287
2023-01-15,-1.4351103
2023-01-16,-1.5981098
2023-01-17,-1.5753112
2023-01-18,-1.5883282
2023-01-19,-1.6653376
2023-01-20,-1.3722885
2023-01-21,-1.0200472
2023-01-22,-1.2139823
2023-01-23,-1.3032231
2023-01-24,-1.3076916
2023-01-25,-1.3074938
2023-01-26,-1.3130047
2023-01-27,-1.3394237
2023-01-28,-1.2063918
2023-01-29,-1.3074938
2023-01-30,-1.5055863
2023-01-31,-0.9392833
2023-02-01,0.3732679
2023-02-02,0.06600329
2023-02-03,0.07658839
2023-02-04,0.3163284
2023-02-05,0.586264
2023-02-06,0.64860004
2023-02-07,0.52465385
2023-02-08,0.5578279
2023-02-09,0.9425042
2023-02-10,0.56816345
2023-02-11,0.75785667
2023-02-12,1.1242276
2023-02-13,1.4450836
2023-02-14,1.6003432
2023-02-15,1.350018
2023-02-16,0.9978487
2023-02-17,1.3389121
2023-02-18,1.6003432
2023-02-19,1.7612076
2023-02-20,2.145165
2023-02-21,2.036718
2023-02-22,2.1883993
2023-02-23,2.1557255
2023-02-24,1.8803465
2023-02-25,2.0416918
2023-02-26,2.067309
2023-02-27,2.410527
2023-02-28,2.541349
2023-03-01,5.7382846
2023-03-02,5.6020055
2023-03-03,5.7000175
2023-03-04,5.871118
2023-03-05,6.0570006
2023-03-06,5.958033
2023-03-07,5.8723054
2023-03-08,6.320293
2023-03-09,6.2393017
2023-03-10,6.081056
2023-03-11,5.931654
2023-03-12,6.2430477
2023-03-13,6.4199724
2023-03-14,6.8427653
2023-03-15,6.9674625
2023-03-16,6.6516247
2023-03-17,6.787696
2023-03-18,6.9674625
2023-03-19,7.765465
2023-03-20,8.074211
2023-03-21,8.38617
2023-03-22,8.303774
2023-03-23,8.159883
2023-03-24,8.121947
2023-03-25,8.024076
2023-03-26,8.039552
2023-03-27,8.273265
2023-03-28,8.399384
2023-03-29,8.288401
2023-03-30,8.187608
2023-03-31,8.265842
2023-04-01,11.862817
2023-04-02,11.984295
2023-04-03,11.885916
