일시,평균기온
2023-01-01,-2.0638444
2023-01-02,-2.0917475
2023-01-03,-2.0638444
2023-01-04,-2.4964247
2023-01-05,-2.4762022
2023-01-06,-1.6539224
2023-01-07,-1.9078901
2023-01-08,-2.223873
2023-01-09,-2.254279
2023-01-10,-1.555014
2023-01-11,-1.8112344
2023-01-12,-1.5935276
2023-01-13,-1.2787743
2023-01-14,-1.6623672
2023-01-15,-1.6623672
2023-01-16,-2.166074
2023-01-17,-2.3009977
2023-01-18,-3.1954224
2023-01-19,-2.563248
2023-01-20,-1.5158049
2023-01-21,-1.6284211
2023-01-22,-1.7717046
2023-01-23,-2.125838
2023-01-24,-2.1531324
2023-01-25,-1.678956
2023-01-26,-1.6486274
2023-01-27,-1.6663152
2023-01-28,-1.6878719
2023-01-29,-1.9078901
2023-01-30,-2.0280526
2023-01-31,-2.0030951
2023-02-01,-0.6997972
2023-02-02,-0.37670845
2023-02-03,-0.36640066
2023-02-04,-0.027263107
2023-02-05,0.368712
2023-02-06,1.2081587
2023-02-07,0.94173235
2023-02-08,0.6519483
2023-02-09,0.8738381
2023-02-10,1.7548159
2023-02-11,1.9888062
2023-02-12,2.5217469
2023-02-13,3.154869
2023-02-14,3.396085
2023-02-15,3.3286722
2023-02-16,2.2178245
2023-02-17,2.091793
2023-02-18,2.000595
2023-02-19,3.1874228
2023-02-20,3.91697
2023-02-21,4.0602903
2023-02-22,3.7811687
2023-02-23,3.6900947
2023-02-24,3.6900947
2023-02-25,3.924778
2023-02-26,4.130656
2023-02-27,5.0059786
2023-02-28,4.867623
2023-03-01,5.4872255
2023-03-02,5.620084
2023-03-03,6.076034
2023-03-04,6.2900095
2023-03-05,6.404782
2023-03-06,6.678973
2023-03-07,6.4596133
2023-03-08,6.5487137
2023-03-09,6.5946307
2023-03-10,7.532156
2023-03-11,7.845443
2023-03-12,8.653145
2023-03-13,9.116836
2023-03-14,9.530559
2023-03-15,9.525268
2023-03-16,8.615992
2023-03-17,8.592674
2023-03-18,8.727777
2023-03-19,9.405161
2023-03-20,10.4065485
2023-03-21,10.4065485
2023-03-22,10.393605
2023-03-23,9.970448
2023-03-24,9.899151
2023-03-25,10.246596
2023-03-26,10.6839485
2023-03-27,11.536615
2023-03-28,11.448656
2023-03-29,11.577863
2023-03-30,11.625761
2023-03-31,11.702626
2023-04-01,9.923798
2023-04-02,10.149689
2023-04-03,10.302212
2023-04-04,10.820074
2023-04-05,11.026428
2023-04-06,11.5709
2023-04-07,11.521503
2023-04-08,11.547533
2023-04-09,11.603446
2023-04-10,12.618861
2023-04-11,12.814876
2023-04-12,13.298431
2023-04-13,13.571795
2023-04-14,14.137973
2023-04-15,14.071435
2023-04-16,13.056749
2023-04-17,12.805481
2023-04-18,13.079703
2023-04-19,14.012243
2023-04-20,14.930291
2023-04-21,15.210574
2023-04-22,15.437646
2023-04-23,15.159476
2023-04-24,15.140382
2023-04-25,15.369363
2023-04-26,15.551276
2023-04-27,15.684071
2023-04-28,15.67878
2023-04-29,15.825444
2023-04-30,15.918767
2023-05-01,15.278603
2023-05-02,15.452006
2023-05-03,15.574386
2023-05-04,15.83563
2023-05-05,16.103258
2023-05-06,16.294067
2023-05-07,16.241465
2023-05-08,16.294067
2023-05-09,16.422663
2023-05-10,17.39944
2023-05-11,17.651123
2023-05-12,18.013044
2023-05-13,18.112513
2023-05-14,18.695953
2023-05-15,18.553156
2023-05-16,17.659376
2023-05-17,17.25911
2023-05-18,17.15757
2023-05-19,18.03754
2023-05-20,18.977697
2023-05-21,19.335806
2023-05-22,19.47519
2023-05-23,19.330772
2023-05-24,19.357882
2023-05-25,19.638227
2023-05-26,19.782644
2023-05-27,19.699472
2023-05-28,19.670828
2023-05-29,19.708952
2023-05-30,19.888817
2023-05-31,19.921186
2023-06-01,20.358011
2023-06-02,20.52078
2023-06-03,20.573887
2023-06-04,20.939165
2023-06-05,21.572521
2023-06-06,21.80587
2023-06-07,21.588041
2023-06-08,21.787308
2023-06-09,21.806326
2023-06-10,22.743254
2023-06-11,23.012293
2023-06-12,23.047169
2023-06-13,23.49734
2023-06-14,23.706554
2023-06-15,23.685326
2023-06-16,22.649815
2023-06-17,22.405998
2023-06-18,22.112806
2023-06-19,22.918684
2023-06-20,23.7183
2023-06-21,23.934355
2023-06-22,24.083282
2023-06-23,23.934355
2023-06-24,23.934355
2023-06-25,24.302578
2023-06-26,24.412931
2023-06-27,24.450003
2023-06-28,24.273031
2023-06-29,24.084162
2023-06-30,24.015081
2023-07-01,24.989653
2023-07-02,25.227201
2023-07-03,25.082352
2023-07-04,25.165653
2023-07-05,25.408754
2023-07-06,25.935871
2023-07-07,25.382885
2023-07-08,25.790413
2023-07-09,25.790413
2023-07-10,26.551228
2023-07-11,26.603437
2023-07-12,26.704826
2023-07-13,27.04564
2023-07-14,27.280228
2023-07-15,27.25735
2023-07-16,26.320263
2023-07-17,26.098032
2023-07-18,26.067959
2023-07-19,26.455622
2023-07-20,27.418573
2023-07-21,27.507212
2023-07-22,27.533194
2023-07-23,27.507212
2023-07-24,27.524221
2023-07-25,27.924887
2023-07-26,28.098013
2023-07-27,27.98868
2023-07-28,27.979708
2023-07-29,27.65532
2023-07-30,27.752823
2023-07-31,27.996199
2023-08-01,26.840088
2023-08-02,26.987535
2023-08-03,26.830297
2023-08-04,26.831116
2023-08-05,27.02258
2023-08-06,27.301456
2023-08-07,26.84225
2023-08-08,26.064474
2023-08-09,26.023521
2023-08-10,26.864212
2023-08-11,26.885138
2023-08-12,27.092402
2023-08-13,27.371305
2023-08-14,27.601078
2023-08-15,27.480932
2023-08-16,26.343893
2023-08-17,25.695158
2023-08-18,25.365894
2023-08-19,25.668009
2023-08-20,26.443493
2023-08-21,25.92698
2023-08-22,25.791992
2023-08-23,25.595642
2023-08-24,25.543856
2023-08-25,25.268574
2023-08-26,25.260988
2023-08-27,25.394882
2023-08-28,25.230366
2023-08-29,24.63697
2023-08-30,24.368555
2023-08-31,24.2684
2023-09-01,24.061405
2023-09-02,24.203072
2023-09-03,24.01406
2023-09-04,23.86078
2023-09-05,23.93602
2023-09-06,23.790749
2023-09-07,23.477835
2023-09-08,22.864792
2023-09-09,22.829384
2023-09-10,23.456457
2023-09-11,23.504032
2023-09-12,23.437838
2023-09-13,23.68504
2023-09-14,23.550188
2023-09-15,23.543228
2023-09-16,22.074612
2023-09-17,21.710667
2023-09-18,20.85923
2023-09-19,21.104984
2023-09-20,21.809248
2023-09-21,21.717377
2023-09-22,21.155258
2023-09-23,21.015984
2023-09-24,21.05696
2023-09-25,20.753088
2023-09-26,20.753088
2023-09-27,20.502201
2023-09-28,20.229963
2023-09-29,19.454958
2023-09-30,19.130901
2023-10-01,17.896141
2023-10-02,18.075186
2023-10-03,17.84359
2023-10-04,17.534698
2023-10-05,17.68583
2023-10-06,17.45513
2023-10-07,17.059187
2023-10-08,16.535355
2023-10-09,16.45428
2023-10-10,16.944607
2023-10-11,16.944607
2023-10-12,16.944817
2023-10-13,16.987656
2023-10-14,16.885653
2023-10-15,16.690254
2023-10-16,15.44482
2023-10-17,14.858603
2023-10-18,14.091963
2023-10-19,14.504552
2023-10-20,15.230751
2023-10-21,14.902986
2023-10-22,14.5706215
2023-10-23,14.38262
2023-10-24,14.375391
2023-10-25,13.617395
2023-10-26,13.56573
2023-10-27,13.3619795
2023-10-28,12.963028
2023-10-29,11.892066
2023-10-30,11.736938
2023-10-31,11.641985
2023-11-01,11.239879
2023-11-02,11.384983
2023-11-03,11.413472
2023-11-04,11.420884
2023-11-05,11.718372
2023-11-06,11.741099
2023-11-07,11.092604
2023-11-08,10.482766
2023-11-09,10.128581
2023-11-10,10.240744
2023-11-11,10.015278
2023-11-12,10.114073
2023-11-13,10.114073
2023-11-14,9.103464
2023-11-15,8.634716
2023-11-16,7.2887754
2023-11-17,6.788903
2023-11-18,6.1771097
2023-11-19,6.5917225
2023-11-20,7.1321564
2023-11-21,6.8365498
2023-11-22,6.6354666
2023-11-23,6.501314
2023-11-24,6.27207
2023-11-25,5.7481914
2023-11-26,5.470704
2023-11-27,5.037808
2023-11-28,4.9374995
2023-11-29,3.803826
2023-11-30,3.5585203
2023-12-01,2.3574302
2023-12-02,2.6914628
2023-12-03,2.4647727
2023-12-04,2.226214
2023-12-05,2.1460998
2023-12-06,1.8706388
2023-12-07,1.97413
2023-12-08,1.5717937
2023-12-09,1.318978
2023-12-10,2.2066314
2023-12-11,2.3082411
2023-12-12,1.4517118
2023-12-13,1.5699593
2023-12-14,1.4084684
2023-12-15,1.3675004
2023-12-16,0.09952622
2023-12-17,-0.18873863
2023-12-18,-0.7154627
2023-12-19,0.1875699
2023-12-20,1.1611509
2023-12-21,1.1074716
2023-12-22,0.84091854
2023-12-23,0.38555235
2023-12-24,-0.08426919
