일시,평균기온
2023-01-01,-1.7262161
2023-01-02,-1.6815126
2023-01-03,-1.6465933
2023-01-04,-1.6964982
2023-01-05,-1.8589132
2023-01-06,-1.6704128
2023-01-07,-1.7287781
2023-01-08,-1.5893047
2023-01-09,-1.531842
2023-01-10,-1.4822941
2023-01-11,-1.5883996
2023-01-12,-1.3733971
2023-01-13,-1.5348022
2023-01-14,-1.5258753
2023-01-15,-1.5875857
2023-01-16,-1.6655927
2023-01-17,-1.6909561
2023-01-18,-1.6932414
2023-01-19,-1.5388713
2023-01-20,-1.4317784
2023-01-21,-1.0271189
2023-01-22,-1.3459165
2023-01-23,-1.4181006
2023-01-24,-1.4363561
2023-01-25,-1.392978
2023-01-26,-1.465297
2023-01-27,-1.4112532
2023-01-28,-1.2630396
2023-01-29,-1.4454885
2023-01-30,-1.5948651
2023-01-31,-1.1858027
2023-02-01,0.44451848
2023-02-02,0.369625
2023-02-03,0.28599343
2023-02-04,0.6641565
2023-02-05,0.7558196
2023-02-06,0.7375044
2023-02-07,0.7057392
2023-02-08,1.0487638
2023-02-09,1.1081351
2023-02-10,1.0007262
2023-02-11,1.0824344
2023-02-12,1.4351867
2023-02-13,1.5069
2023-02-14,1.7261914
2023-02-15,1.3968548
2023-02-16,1.0905372
2023-02-17,1.3562859
2023-02-18,1.6792012
2023-02-19,1.8253766
2023-02-20,2.0874124
2023-02-21,2.0361388
2023-02-22,2.0420938
2023-02-23,2.0420938
2023-02-24,1.9205875
2023-02-25,2.0888648
2023-02-26,1.9311122
2023-02-27,2.4270935
2023-02-28,2.6385138
2023-03-01,5.5743427
2023-03-02,5.7111926
2023-03-03,5.585738
2023-03-04,5.7166157
2023-03-05,5.9985905
2023-03-06,5.727899
2023-03-07,5.8814178
2023-03-08,6.079433
2023-03-09,6.1182013
2023-03-10,6.0048122
2023-03-11,5.8455877
2023-03-12,6.327411
2023-03-13,6.469853
2023-03-14,6.9581385
2023-03-15,7.0256953
2023-03-16,6.9093328
2023-03-17,6.882197
2023-03-18,7.0377703
2023-03-19,7.9147916
2023-03-20,7.977962
2023-03-21,8.009275
2023-03-22,8.171435
2023-03-23,7.951818
2023-03-24,7.983549
2023-03-25,8.032565
2023-03-26,7.983549
2023-03-27,8.25474
2023-03-28,8.49063
2023-03-29,8.1640215
2023-03-30,8.141669
2023-03-31,8.311229
2023-04-01,11.85557
2023-04-02,12.143416
2023-04-03,12.031403
2023-04-04,12.0882225
2023-04-05,12.270591
2023-04-06,12.378618
2023-04-07,12.430772
2023-04-08,12.376257
2023-04-09,12.459244
