일시,평균기온
2023-01-01,-1.2624367
2023-01-02,-1.3838178
2023-01-03,-1.5173575
2023-01-04,-1.6489984
2023-01-05,-1.6239237
2023-01-06,-1.6022612
2023-01-07,-1.5775474
2023-01-08,-1.8113433
2023-01-09,-1.6341306
2023-01-10,-1.4161154
2023-01-11,-1.8854758
2023-01-12,-1.6751751
2023-01-13,-1.7431272
2023-01-14,-1.7319852
2023-01-15,-1.3996845
2023-01-16,-1.6154662
2023-01-17,-1.1938881
2023-01-18,-1.3183511
2023-01-19,-1.2340666
2023-01-20,-0.9135387
2023-01-21,-1.1249918
2023-01-22,-1.0363234
2023-01-23,-0.8613429
2023-01-24,-1.0582489
2023-01-25,-1.0543276
2023-01-26,-0.9601127
2023-01-27,-0.784925
2023-01-28,-0.7805103
2023-01-29,-0.94159853
2023-01-30,-1.4382957
2023-01-31,-1.4772395
2023-02-01,-0.5028639
2023-02-02,-0.6311419
2023-02-03,-0.31632543
2023-02-04,-0.14167193
2023-02-05,-0.058709145
2023-02-06,0.10448551
2023-02-07,0.27362195
2023-02-08,0.28841633
2023-02-09,0.42428178
2023-02-10,0.52050984
2023-02-11,0.37584373
2023-02-12,0.44768575
2023-02-13,0.77856886
2023-02-14,1.0832199
2023-02-15,1.323794
2023-02-16,1.2694956
2023-02-17,1.4813191
2023-02-18,1.5946275
2023-02-19,1.9886776
2023-02-20,2.174511
2023-02-21,2.3230515
2023-02-22,2.3594208
2023-02-23,2.517696
2023-02-24,2.4425316
2023-02-25,2.710681
2023-02-26,2.7272346
2023-02-27,3.014196
2023-02-28,3.2173758
2023-03-01,4.966652
2023-03-02,4.869466
2023-03-03,5.173064
2023-03-04,5.046097
2023-03-05,5.0313454
2023-03-06,5.1718764
2023-03-07,5.1793265
2023-03-08,5.147161
2023-03-09,5.2847576
2023-03-10,5.6034536
2023-03-11,5.5037885
2023-03-12,5.8471084
2023-03-13,6.45813
2023-03-14,6.781559
2023-03-15,7.0399523
2023-03-16,7.1344366
2023-03-17,7.6452427
2023-03-18,8.066903
2023-03-19,8.419404
2023-03-20,8.684465
2023-03-21,8.685678
2023-03-22,8.708281
2023-03-23,8.865312
2023-03-24,8.885383
2023-03-25,8.984511
2023-03-26,8.988423
2023-03-27,9.233043
2023-03-28,9.5040655
2023-03-29,9.447943
2023-03-30,9.276433
2023-03-31,9.042006
2023-04-01,11.7305765
2023-04-02,11.803157
2023-04-03,11.795609
2023-04-04,11.663752
2023-04-05,11.75903
2023-04-06,11.7043915
2023-04-07,11.857143
2023-04-08,11.930475
2023-04-09,11.88402
2023-04-10,12.214273
2023-04-11,12.168926
2023-04-12,12.229523
2023-04-13,12.581726
2023-04-14,12.799321
2023-04-15,12.994857
2023-04-16,13.031786
2023-04-17,13.216238
2023-04-18,13.554166
2023-04-19,13.941965
2023-04-20,14.386572
2023-04-21,14.378684
2023-04-22,14.428733
2023-04-23,14.467792
2023-04-24,14.448822
2023-04-25,14.590851
2023-04-26,14.606834
2023-04-27,14.695128
2023-04-28,14.858295
2023-04-29,14.8214655
2023-04-30,14.562733
2023-05-01,17.70663
2023-05-02,17.739792
2023-05-03,17.857052
2023-05-04,17.906961
2023-05-05,17.861431
2023-05-06,17.83839
2023-05-07,17.852034
2023-05-08,17.865692
2023-05-09,18.17368
2023-05-10,18.212296
2023-05-11,17.905434
2023-05-12,17.954823
2023-05-13,18.262482
2023-05-14,18.464478
2023-05-15,18.454903
2023-05-16,18.596603
2023-05-17,18.780458
2023-05-18,18.846645
2023-05-19,18.932491
2023-05-20,19.258604
2023-05-21,19.209703
2023-05-22,19.282993
2023-05-23,19.491653
2023-05-24,19.346119
2023-05-25,19.533587
2023-05-26,19.339731
2023-05-27,19.818785
2023-05-28,19.6867
2023-05-29,19.50469
2023-05-30,19.34888
2023-05-31,19.259993
2023-06-01,22.300741
2023-06-02,22.369413
2023-06-03,22.557009
2023-06-04,22.517717
2023-06-05,22.34432
2023-06-06,22.271368
2023-06-07,22.355684
2023-06-08,22.214308
2023-06-09,22.342676
2023-06-10,22.389486
2023-06-11,22.315943
2023-06-12,22.367838
2023-06-13,22.48437
2023-06-14,22.708944
2023-06-15,22.76219
2023-06-16,22.76069
2023-06-17,22.880413
2023-06-18,23.040691
2023-06-19,23.109623
2023-06-20,23.46695
2023-06-21,23.431427
2023-06-22,23.453941
2023-06-23,23.484764
2023-06-24,23.468021
2023-06-25,23.508999
2023-06-26,23.50586
2023-06-27,23.73867
2023-06-28,23.642189
2023-06-29,23.748886
2023-06-30,23.405628
2023-07-01,25.297913
2023-07-02,25.406017
2023-07-03,25.47955
2023-07-04,25.500404
2023-07-05,25.30614
2023-07-06,25.303116
2023-07-07,25.214344
2023-07-08,25.072323
2023-07-09,25.225483
2023-07-10,25.409695
2023-07-11,25.247318
2023-07-12,25.195442
2023-07-13,25.370354
2023-07-14,25.494816
2023-07-15,25.539131
2023-07-16,25.5261
2023-07-17,25.595917
2023-07-18,25.859623
2023-07-19,25.817589
2023-07-20,26.046638
2023-07-21,25.970612
2023-07-22,26.04092
2023-07-23,26.15063
2023-07-24,26.143318
2023-07-25,26.231045
2023-07-26,26.03902
2023-07-27,26.41517
2023-07-28,26.413029
2023-07-29,26.278168
2023-07-30,25.935871
2023-07-31,25.78254
2023-08-01,26.976479
2023-08-02,26.673975
2023-08-03,26.873877
2023-08-04,26.652927
2023-08-05,26.498394
2023-08-06,26.204327
2023-08-07,26.143532
2023-08-08,26.10162
2023-08-09,26.086338
2023-08-10,25.963604
2023-08-11,25.887676
2023-08-12,25.873798
2023-08-13,25.955894
2023-08-14,26.123398
2023-08-15,26.077003
2023-08-16,26.12257
2023-08-17,26.226814
2023-08-18,26.25156
2023-08-19,26.273766
2023-08-20,26.289598
2023-08-21,26.26945
2023-08-22,26.293451
2023-08-23,26.34595
2023-08-24,26.231825
2023-08-25,26.227583
2023-08-26,26.13258
2023-08-27,25.905634
2023-08-28,25.75233
2023-08-29,25.530514
2023-08-30,25.103233
2023-08-31,24.899391
2023-09-01,23.751621
2023-09-02,23.631145
2023-09-03,23.807625
2023-09-04,23.426426
2023-09-05,23.18533
2023-09-06,23.005138
2023-09-07,23.082657
2023-09-08,22.83934
2023-09-09,22.53048
2023-09-10,22.544178
2023-09-11,22.468761
2023-09-12,22.115744
2023-09-13,22.27991
2023-09-14,22.363005
2023-09-15,21.979555
2023-09-16,21.86685
2023-09-17,21.817461
2023-09-18,21.36645
2023-09-19,21.50086
2023-09-20,21.626554
2023-09-21,21.217955
2023-09-22,21.193945
2023-09-23,21.404032
2023-09-24,21.145494
2023-09-25,20.9698
2023-09-26,20.704794
2023-09-27,20.508158
2023-09-28,20.542845
2023-09-29,20.200457
2023-09-30,19.962519
2023-10-01,17.599463
2023-10-02,17.448683
2023-10-03,17.66094
2023-10-04,17.45006
2023-10-05,17.093576
2023-10-06,16.86082
2023-10-07,16.93673
2023-10-08,16.789429
2023-10-09,16.433907
2023-10-10,16.402683
2023-10-11,16.120213
2023-10-12,15.9755335
2023-10-13,15.87659
2023-10-14,15.88303
2023-10-15,15.3909
2023-10-16,15.287089
2023-10-17,15.185763
2023-10-18,15.001487
2023-10-19,15.006032
2023-10-20,15.003278
2023-10-21,14.879331
2023-10-22,14.810954
2023-10-23,14.693784
2023-10-24,14.567757
2023-10-25,14.237835
2023-10-26,13.878632
2023-10-27,13.99008
2023-10-28,13.5550585
2023-10-29,13.273786
2023-10-30,12.709404
2023-10-31,12.791956
2023-11-01,10.879041
2023-11-02,10.709778
2023-11-03,10.83312
2023-11-04,10.720405
2023-11-05,10.443919
2023-11-06,9.849805
2023-11-07,9.885938
2023-11-08,9.584512
2023-11-09,9.060341
2023-11-10,9.037999
2023-11-11,8.818473
2023-11-12,8.367967
2023-11-13,8.230753
2023-11-14,8.218375
2023-11-15,7.781275
2023-11-16,7.6040154
2023-11-17,7.558547
2023-11-18,7.38686
2023-11-19,7.2054224
2023-11-20,7.261219
2023-11-21,7.016302
2023-11-22,6.81353
2023-11-23,6.7801666
2023-11-24,6.5008545
2023-11-25,6.0693274
2023-11-26,5.7385917
2023-11-27,5.7746067
2023-11-28,5.418408
2023-11-29,5.274137
2023-11-30,4.7240214
2023-12-01,3.0017118
2023-12-02,2.7880707
2023-12-03,3.0808744
2023-12-04,3.0419054
2023-12-05,2.5733824
2023-12-06,2.26687
2023-12-07,2.4063253
2023-12-08,1.9385225
2023-12-09,1.7013241
2023-12-10,1.5371593
2023-12-11,1.3368963
2023-12-12,0.89897513
2023-12-13,0.8014599
2023-12-14,0.706614
2023-12-15,0.3901956
2023-12-16,0.3758355
2023-12-17,0.25957394
2023-12-18,0.01924166
2023-12-19,0.11658576
2023-12-20,0.19352323
2023-12-21,-0.11790046
2023-12-22,-0.25180644
2023-12-23,-0.31570187
2023-12-24,-0.7546097
