일시,평균기온
2023-01-01,-1.8886733
2023-01-02,-1.6835423
2023-01-03,-1.9175352
2023-01-04,-2.4064474
2023-01-05,-2.1724982
2023-01-06,-1.2687972
2023-01-07,-1.7669339
2023-01-08,-2.0088773
2023-01-09,-2.029306
2023-01-10,-1.0990182
2023-01-11,-1.426434
2023-01-12,-1.403083
2023-01-13,-1.0143117
2023-01-14,-1.3999118
2023-01-15,-1.3999118
2023-01-16,-1.8893718
2023-01-17,-2.129943
2023-01-18,-2.829836
2023-01-19,-2.1951149
2023-01-20,-1.1494371
2023-01-21,-1.2969576
2023-01-22,-1.6854844
2023-01-23,-1.9230661
2023-01-24,-2.1454237
2023-01-25,-1.5472727
2023-01-26,-1.6038384
2023-01-27,-1.3879153
2023-01-28,-1.3501617
2023-01-29,-1.7886755
2023-01-30,-2.0328355
2023-01-31,-1.8457807
2023-02-01,-0.57229
2023-02-02,-0.25623366
2023-02-03,-0.24836364
2023-02-04,-0.07802145
2023-02-05,0.47527102
2023-02-06,1.3755447
2023-02-07,1.0946482
2023-02-08,0.6205374
2023-02-09,0.91618824
2023-02-10,2.0104873
2023-02-11,1.9510124
2023-02-12,2.4082918
2023-02-13,3.2526858
2023-02-14,3.3498144
2023-02-15,3.218925
2023-02-16,2.460221
2023-02-17,2.4212625
2023-02-18,2.023329
2023-02-19,3.2794657
2023-02-20,3.8303099
2023-02-21,4.0132513
2023-02-22,3.796269
2023-02-23,3.6535773
2023-02-24,3.6335645
2023-02-25,3.809124
2023-02-26,4.211292
2023-02-27,4.909685
2023-02-28,4.813734
2023-03-01,5.313382
2023-03-02,5.3880367
2023-03-03,5.6745553
2023-03-04,6.0452137
2023-03-05,6.080751
2023-03-06,6.3091187
2023-03-07,6.080751
2023-03-08,6.321482
2023-03-09,6.321482
2023-03-10,7.2214413
2023-03-11,7.6719503
2023-03-12,8.427147
2023-03-13,9.116242
2023-03-14,9.489513
2023-03-15,9.615695
2023-03-16,8.878616
2023-03-17,8.637557
2023-03-18,8.602116
2023-03-19,9.388948
2023-03-20,10.19815
2023-03-21,10.19815
2023-03-22,10.299195
2023-03-23,9.556662
2023-03-24,9.588203
2023-03-25,9.991825
2023-03-26,10.547524
2023-03-27,11.397925
2023-03-28,11.53883
2023-03-29,11.53883
2023-03-30,11.592524
2023-03-31,11.737549
2023-04-01,10.207376
2023-04-02,10.488927
2023-04-03,10.498075
2023-04-04,11.111849
2023-04-05,11.279898
2023-04-06,11.721864
2023-04-07,11.696577
2023-04-08,11.721864
2023-04-09,12.010731
2023-04-10,12.761521
2023-04-11,13.212705
2023-04-12,13.206524
2023-04-13,13.420614
2023-04-14,13.94145
2023-04-15,13.865092
2023-04-16,13.122256
2023-04-17,13.069092
2023-04-18,13.140686
2023-04-19,13.829367
2023-04-20,14.946585
2023-04-21,15.1060915
2023-04-22,15.288978
2023-04-23,14.94354
2023-04-24,15.081657
2023-04-25,15.185838
2023-04-26,15.267278
2023-04-27,15.470717
2023-04-28,15.711947
2023-04-29,15.784224
2023-04-30,15.925416
2023-05-01,15.250955
2023-05-02,15.445373
2023-05-03,15.376948
2023-05-04,15.844152
2023-05-05,16.117756
2023-05-06,16.310047
2023-05-07,16.172203
2023-05-08,16.310047
2023-05-09,16.468601
2023-05-10,17.505074
2023-05-11,18.040075
2023-05-12,17.973904
2023-05-13,18.130358
2023-05-14,18.495398
2023-05-15,18.42799
2023-05-16,17.637108
2023-05-17,17.483746
2023-05-18,17.015242
2023-05-19,17.788166
2023-05-20,18.950808
2023-05-21,19.298916
2023-05-22,19.449926
2023-05-23,19.367126
2023-05-24,19.298916
2023-05-25,19.678663
2023-05-26,19.786749
2023-05-27,19.695162
2023-05-28,19.655134
2023-05-29,19.69239
2023-05-30,19.788181
2023-05-31,20.012308
2023-06-01,20.596424
2023-06-02,20.684849
2023-06-03,20.739834
2023-06-04,21.212284
2023-06-05,21.373768
2023-06-06,21.872627
2023-06-07,21.701672
2023-06-08,21.804909
2023-06-09,21.96515
2023-06-10,22.415573
2023-06-11,22.626865
2023-06-12,22.768734
2023-06-13,23.128977
2023-06-14,23.611568
2023-06-15,23.611568
2023-06-16,22.740791
2023-06-17,22.378538
2023-06-18,22.157446
2023-06-19,23.086876
2023-06-20,23.711466
2023-06-21,23.892153
2023-06-22,24.045414
2023-06-23,23.892153
2023-06-24,23.892153
2023-06-25,24.261177
2023-06-26,24.211391
2023-06-27,24.344809
2023-06-28,24.246222
2023-06-29,24.049229
2023-06-30,23.869911
2023-07-01,24.967886
2023-07-02,25.191479
2023-07-03,24.96555
2023-07-04,25.155014
2023-07-05,25.464033
2023-07-06,25.789352
2023-07-07,25.337074
2023-07-08,25.677763
2023-07-09,25.679142
2023-07-10,26.5704
2023-07-11,26.57607
2023-07-12,26.70101
2023-07-13,26.965975
2023-07-14,27.460869
2023-07-15,27.543518
2023-07-16,26.230202
2023-07-17,25.92489
2023-07-18,25.929873
2023-07-19,26.317707
2023-07-20,27.460869
2023-07-21,27.678926
2023-07-22,27.678926
2023-07-23,27.678926
2023-07-24,27.678926
2023-07-25,27.843998
2023-07-26,28.04357
2023-07-27,28.396683
2023-07-28,28.343512
2023-07-29,27.780516
2023-07-30,27.909567
2023-07-31,28.036282
2023-08-01,26.651745
2023-08-02,26.931314
2023-08-03,26.516773
2023-08-04,26.580256
2023-08-05,26.726656
2023-08-06,27.11404
2023-08-07,26.580256
2023-08-08,25.983625
2023-08-09,25.920143
2023-08-10,26.931314
2023-08-11,26.889294
2023-08-12,27.035694
2023-08-13,27.246649
2023-08-14,27.270145
2023-08-15,27.240482
2023-08-16,26.058367
2023-08-17,25.354403
2023-08-18,24.946733
2023-08-19,25.175179
2023-08-20,26.083055
2023-08-21,25.748621
2023-08-22,25.619368
2023-08-23,25.489737
2023-08-24,25.432072
2023-08-25,25.446062
2023-08-26,25.368393
2023-08-27,25.239162
2023-08-28,25.239384
2023-08-29,24.251411
2023-08-30,24.051514
2023-08-31,24.129183
2023-09-01,23.52356
2023-09-02,23.675425
2023-09-03,23.463509
2023-09-04,23.344234
2023-09-05,23.455858
2023-09-06,23.27583
2023-09-07,23.21668
2023-09-08,22.588688
2023-09-09,22.592667
2023-09-10,23.07205
2023-09-11,23.117569
2023-09-12,23.262371
2023-09-13,23.390959
2023-09-14,23.044996
2023-09-15,22.977169
2023-09-16,21.768639
2023-09-17,21.655827
2023-09-18,20.716566
2023-09-19,20.94056
2023-09-20,21.625372
2023-09-21,21.607864
2023-09-22,21.180502
2023-09-23,20.914389
2023-09-24,20.953005
2023-09-25,20.629677
2023-09-26,20.629677
2023-09-27,20.504406
2023-09-28,20.323542
2023-09-29,19.20164
2023-09-30,19.23179
2023-10-01,17.862724
2023-10-02,17.706427
2023-10-03,17.51911
2023-10-04,17.325102
2023-10-05,17.408512
2023-10-06,17.186062
2023-10-07,16.858946
2023-10-08,16.23167
2023-10-09,16.188963
2023-10-10,16.724669
2023-10-11,16.800028
2023-10-12,16.807636
2023-10-13,16.772877
2023-10-14,16.518194
2023-10-15,16.297075
2023-10-16,15.092389
2023-10-17,14.659964
2023-10-18,13.944477
2023-10-19,14.333239
2023-10-20,14.898653
2023-10-21,14.618071
2023-10-22,14.471652
2023-10-23,14.274706
2023-10-24,14.189654
2023-10-25,13.80531
2023-10-26,13.569361
2023-10-27,13.548748
2023-10-28,13.128764
2023-10-29,12.004927
2023-10-30,11.804448
2023-10-31,11.779855
2023-11-01,11.410001
2023-11-02,11.380168
2023-11-03,11.536567
2023-11-04,11.561853
2023-11-05,11.8052635
2023-11-06,11.777887
2023-11-07,11.255067
2023-11-08,10.203861
2023-11-09,10.058545
2023-11-10,10.103206
2023-11-11,10.048313
2023-11-12,10.141811
2023-11-13,10.141811
2023-11-14,9.040367
2023-11-15,8.7412815
2023-11-16,7.0503716
2023-11-17,6.4130435
2023-11-18,5.783153
2023-11-19,6.1975474
