일시,평균기온
2023-01-01,-2.169501
2023-01-02,-2.1933758
2023-01-03,-2.1826096
2023-01-04,-2.3259661
2023-01-05,-2.3628645
2023-01-06,-1.4118874
2023-01-07,-2.0851593
2023-01-08,-2.2122216
2023-01-09,-1.5244508
2023-01-10,-0.6404587
2023-01-11,-1.7067435
2023-01-12,-1.5712891
2023-01-13,-1.0853997
2023-01-14,-1.8108838
2023-01-15,-1.8108838
2023-01-16,-2.2886786
2023-01-17,-2.3157964
2023-01-18,-3.326498
2023-01-19,-2.493484
2023-01-20,-1.4180119
2023-01-21,-1.8224405
2023-01-22,-1.8224405
2023-01-23,-2.1786313
2023-01-24,-2.1786313
2023-01-25,-1.7827259
2023-01-26,-1.7827259
2023-01-27,-1.3782969
2023-01-28,-1.4180119
2023-01-29,-2.0912838
2023-01-30,-2.0287962
2023-01-31,-2.264478
2023-02-01,-0.6249118
2023-02-02,-0.35342124
2023-02-03,-0.19422998
2023-02-04,0.17551513
2023-02-05,0.38993576
2023-02-06,1.4480126
2023-02-07,0.9969195
2023-02-08,0.74433684
2023-02-09,1.1003975
2023-02-10,1.8396335
2023-02-11,2.0846663
2023-02-12,2.8125165
2023-02-13,3.2155652
2023-02-14,3.5108175
2023-02-15,3.5129714
2023-02-16,2.4290426
2023-02-17,2.3799279
2023-02-18,2.1812174
2023-02-19,3.17773
2023-02-20,4.0757585
2023-02-21,4.2907124
2023-02-22,4.1182594
2023-02-23,3.9090688
2023-02-24,3.839462
2023-02-25,3.827336
2023-02-26,4.175049
2023-02-27,5.0783587
2023-02-28,4.972287
2023-03-01,5.723036
2023-03-02,5.8247275
2023-03-03,6.441958
2023-03-04,6.4590263
2023-03-05,6.4718018
2023-03-06,6.807537
2023-03-07,6.5070252
2023-03-08,6.6848645
2023-03-09,6.5978093
2023-03-10,7.522851
2023-03-11,8.013876
2023-03-12,8.717952
2023-03-13,9.178335
2023-03-14,9.678012
2023-03-15,9.678012
2023-03-16,8.592296
2023-03-17,8.57183
2023-03-18,8.685444
2023-03-19,9.423809
2023-03-20,10.313055
2023-03-21,10.564347
2023-03-22,10.376545
2023-03-23,9.862743
2023-03-24,9.827689
2023-03-25,10.102766
2023-03-26,10.637646
2023-03-27,11.45756
2023-03-28,11.417845
2023-03-29,11.397959
2023-03-30,11.544778
2023-03-31,11.55483
2023-04-01,10.259192
2023-04-02,10.518791
2023-04-03,10.472676
