일시,평균기온
2023-01-01,-1.549477
2023-01-02,-1.3635519
2023-01-03,-1.5813905
2023-01-04,-2.1852221
2023-01-05,-2.2798772
2023-01-06,-0.7898116
2023-01-07,-1.4459214
2023-01-08,-2.0853593
2023-01-09,-2.0760927
2023-01-10,-1.2221311
2023-01-11,-1.0987946
2023-01-12,-0.9174055
2023-01-13,-0.9370284
2023-01-14,-1.0062068
2023-01-15,-1.0242118
2023-01-16,-1.5771418
2023-01-17,-1.9280021
2023-01-18,-2.817954
2023-01-19,-2.090961
2023-01-20,-0.63344866
2023-01-21,-0.8594366
2023-01-22,-1.0402206
2023-01-23,-1.704338
2023-01-24,-1.890535
2023-01-25,-0.91133815
2023-01-26,-0.936627
2023-01-27,-0.7295298
2023-01-28,-0.66487134
2023-01-29,-1.3598886
2023-01-30,-1.5812796
2023-01-31,-1.5797585
2023-02-01,-0.61184037
2023-02-02,-0.5831266
2023-02-03,-0.5645348
2023-02-04,-0.28610137
2023-02-05,0.042172868
2023-02-06,1.0010324
2023-02-07,0.6139763
2023-02-08,0.38657743
2023-02-09,0.52850926
2023-02-10,1.2602642
2023-02-11,1.2886978
2023-02-12,1.8991387
2023-02-13,2.637894
2023-02-14,2.781881
2023-02-15,2.8188732
2023-02-16,1.7980458
2023-02-17,1.7124975
2023-02-18,1.7557315
2023-02-19,2.6704426
2023-02-20,3.313802
2023-02-21,3.405515
2023-02-22,3.1343849
2023-02-23,3.0397928
2023-02-24,3.0181892
2023-02-25,3.2521148
2023-02-26,3.587509
2023-02-27,4.1807117
2023-02-28,4.1914845
2023-03-01,5.6858063
2023-03-02,5.683426
2023-03-03,5.8399754
2023-03-04,5.8112316
2023-03-05,6.022273
2023-03-06,6.171073
2023-03-07,6.283677
2023-03-08,6.5453296
2023-03-09,6.5481586
2023-03-10,7.415904
2023-03-11,7.5307584
2023-03-12,8.354873
2023-03-13,8.837591
2023-03-14,9.227126
2023-03-15,9.215236
2023-03-16,8.349319
2023-03-17,8.417984
2023-03-18,8.708101
2023-03-19,9.438901
2023-03-20,10.222656
2023-03-21,10.208799
2023-03-22,10.17464
2023-03-23,9.749025
2023-03-24,9.757379
2023-03-25,9.865883
2023-03-26,10.431822
2023-03-27,11.01083
2023-03-28,10.975431
2023-03-29,11.182071
2023-03-30,11.056686
2023-03-31,11.175163
2023-04-01,10.381125
2023-04-02,10.480873
2023-04-03,10.525698
2023-04-04,11.0543585
2023-04-05,11.194678
2023-04-06,11.525254
2023-04-07,11.488364
2023-04-08,11.48118
2023-04-09,11.792763
2023-04-10,12.708756
2023-04-11,12.856464
2023-04-12,13.45231
2023-04-13,13.583957
2023-04-14,14.012799
2023-04-15,14.00884
2023-04-16,13.274596
2023-04-17,12.966128
2023-04-18,13.230234
2023-04-19,13.951068
2023-04-20,14.606775
2023-04-21,14.766995
2023-04-22,15.042619
2023-04-23,14.8396845
2023-04-24,14.797178
2023-04-25,14.992499
2023-04-26,15.032876
2023-04-27,15.172238
2023-04-28,15.225903
2023-04-29,15.370304
2023-04-30,15.393433
2023-05-01,15.312655
2023-05-02,15.397469
2023-05-03,15.3875065
2023-05-04,15.744129
2023-05-05,15.965046
2023-05-06,16.21879
2023-05-07,16.109726
2023-05-08,16.221966
2023-05-09,16.437729
2023-05-10,17.331375
2023-05-11,17.61027
2023-05-12,17.918571
2023-05-13,18.100134
2023-05-14,18.49424
2023-05-15,18.373098
2023-05-16,17.600224
2023-05-17,17.35657
2023-05-18,17.15468
2023-05-19,18.136475
2023-05-20,18.746984
2023-05-21,19.199379
2023-05-22,19.317352
2023-05-23,19.207403
2023-05-24,19.236053
2023-05-25,19.432934
2023-05-26,19.546873
2023-05-27,19.496712
2023-05-28,19.58628
2023-05-29,19.615917
2023-05-30,19.776455
2023-05-31,19.666954
2023-06-01,20.37263
2023-06-02,20.554905
2023-06-03,20.58263
2023-06-04,21.016361
2023-06-05,21.323858
2023-06-06,21.759546
2023-06-07,21.64397
2023-06-08,21.706411
2023-06-09,21.712723
2023-06-10,22.556608
2023-06-11,22.734705
2023-06-12,22.853523
2023-06-13,23.248104
2023-06-14,23.48335
2023-06-15,23.442005
2023-06-16,22.544954
2023-06-17,22.236214
2023-06-18,22.078215
2023-06-19,22.72782
2023-06-20,23.560884
2023-06-21,23.763145
2023-06-22,23.976257
2023-06-23,23.762903
2023-06-24,23.763708
2023-06-25,24.020035
2023-06-26,24.013933
2023-06-27,24.165743
2023-06-28,24.057182
2023-06-29,23.723694
2023-06-30,23.717304
2023-07-01,25.087234
2023-07-02,25.256145
2023-07-03,25.115494
2023-07-04,25.135616
2023-07-05,25.425602
2023-07-06,25.810724
2023-07-07,25.361656
2023-07-08,25.752228
2023-07-09,25.763721
2023-07-10,26.56462
2023-07-11,26.647806
2023-07-12,26.64188
2023-07-13,26.866573
2023-07-14,27.306152
2023-07-15,26.955538
2023-07-16,26.340923
2023-07-17,26.028067
2023-07-18,25.97272
2023-07-19,26.383627
2023-07-20,27.123331
2023-07-21,27.45986
2023-07-22,27.48221
2023-07-23,27.45736
2023-07-24,27.5089
2023-07-25,27.906195
2023-07-26,27.972439
2023-07-27,27.971699
2023-07-28,27.978521
2023-07-29,27.659155
2023-07-30,27.592855
2023-07-31,27.767344
2023-08-01,26.756067
2023-08-02,27.00806
2023-08-03,26.777964
2023-08-04,26.744976
2023-08-05,26.816515
2023-08-06,27.135315
2023-08-07,26.767315
2023-08-08,26.102398
2023-08-09,26.086546
2023-08-10,26.81126
2023-08-11,26.815054
2023-08-12,26.902195
2023-08-13,27.092321
2023-08-14,27.35568
2023-08-15,27.341866
2023-08-16,26.10328
2023-08-17,25.632708
2023-08-18,25.16662
2023-08-19,25.412554
2023-08-20,26.21243
2023-08-21,25.738771
2023-08-22,25.846146
2023-08-23,25.545355
2023-08-24,25.53565
2023-08-25,25.202808
2023-08-26,25.19406
2023-08-27,25.255589
2023-08-28,25.09752
2023-08-29,24.208672
2023-08-30,24.012718
2023-08-31,24.137552
2023-09-01,23.178806
2023-09-02,23.32144
2023-09-03,23.13868
2023-09-04,22.972324
2023-09-05,23.028902
2023-09-06,22.882414
2023-09-07,22.619572
2023-09-08,22.140678
2023-09-09,22.172243
2023-09-10,22.6479
2023-09-11,22.63241
2023-09-12,22.767162
2023-09-13,22.927797
2023-09-14,22.884912
2023-09-15,22.79432
2023-09-16,21.536781
2023-09-17,21.249928
2023-09-18,20.45378
2023-09-19,20.67784
2023-09-20,21.3978
2023-09-21,21.26508
2023-09-22,20.814821
2023-09-23,20.664492
2023-09-24,20.665161
2023-09-25,20.368004
2023-09-26,20.427431
2023-09-27,20.143782
2023-09-28,19.756512
2023-09-29,19.095123
2023-09-30,18.811457
2023-10-01,17.115671
2023-10-02,17.208416
2023-10-03,16.928837
2023-10-04,16.727491
2023-10-05,17.026436
2023-10-06,16.824472
2023-10-07,16.283714
2023-10-08,15.674946
2023-10-09,15.675613
2023-10-10,15.926732
2023-10-11,16.021545
2023-10-12,16.041748
2023-10-13,16.135479
2023-10-14,16.110851
2023-10-15,15.98735
2023-10-16,14.773969
2023-10-17,14.400354
2023-10-18,13.608796
2023-10-19,14.119036
2023-10-20,14.661438
2023-10-21,14.412655
2023-10-22,14.02541
2023-10-23,13.720239
2023-10-24,13.782171
2023-10-25,13.295274
2023-10-26,13.109612
2023-10-27,13.030484
2023-10-28,12.608414
2023-10-29,11.782287
2023-10-30,11.460435
2023-10-31,11.524385
2023-11-01,10.402045
2023-11-02,10.184816
2023-11-03,10.557075
2023-11-04,10.079929
2023-11-05,10.388694
2023-11-06,10.589634
2023-11-07,10.062926
2023-11-08,9.293604
2023-11-09,9.080763
2023-11-10,9.29813
2023-11-11,8.994171
2023-11-12,8.926274
2023-11-13,8.906902
2023-11-14,8.139562
2023-11-15,7.770528
2023-11-16,6.5359306
2023-11-17,6.1246758
2023-11-18,5.2903385
2023-11-19,5.760846
2023-11-20,6.326293
2023-11-21,6.110539
2023-11-22,5.573655
2023-11-23,5.4782133
2023-11-24,5.293196
2023-11-25,5.071355
2023-11-26,4.772481
2023-11-27,4.4855866
2023-11-28,4.441658
2023-11-29,3.5689535
2023-11-30,3.421988
2023-12-01,1.8028936
2023-12-02,2.2376063
2023-12-03,1.8503485
2023-12-04,1.180392
2023-12-05,1.2850899
2023-12-06,1.0584333
2023-12-07,1.0831848
2023-12-08,0.91366905
2023-12-09,0.85334474
2023-12-10,1.6260291
2023-12-11,1.7767817
2023-12-12,0.83196366
2023-12-13,0.91744184
2023-12-14,0.75156873
