일시,평균기온
2023-01-01,-2.0299804
2023-01-02,-2.023383
2023-01-03,-1.9617761
2023-01-04,-2.371525
2023-01-05,-2.231405
2023-01-06,-1.4675498
2023-01-07,-1.8463502
2023-01-08,-2.185334
2023-01-09,-2.234769
2023-01-10,-1.5365354
2023-01-11,-1.7172077
2023-01-12,-1.4562753
2023-01-13,-1.1841315
2023-01-14,-1.5876456
2023-01-15,-1.639587
2023-01-16,-1.9706922
2023-01-17,-2.0867417
2023-01-18,-2.8973372
2023-01-19,-2.3474271
2023-01-20,-1.4044491
2023-01-21,-1.4422342
2023-01-22,-1.5847422
2023-01-23,-1.9271535
2023-01-24,-2.149204
2023-01-25,-1.5400769
2023-01-26,-1.4728047
2023-01-27,-1.3119711
2023-01-28,-1.3772763
2023-01-29,-1.7962993
2023-01-30,-1.9578966
2023-01-31,-1.8322268
2023-02-01,-0.36644205
2023-02-02,0.02485983
2023-02-03,0.011278501
2023-02-04,0.3383363
2023-02-05,0.6937235
2023-02-06,1.5001726
2023-02-07,1.2665985
2023-02-08,0.89363223
2023-02-09,0.94160813
2023-02-10,2.0246212
2023-02-11,2.0234988
2023-02-12,2.4767864
2023-02-13,3.2081525
2023-02-14,3.4139721
2023-02-15,3.41559
2023-02-16,2.1052992
2023-02-17,2.0302765
2023-02-18,2.0719602
2023-02-19,3.291083
2023-02-20,3.975826
2023-02-21,3.9631407
2023-02-22,3.794535
2023-02-23,3.556679
2023-02-24,3.6542594
2023-02-25,3.9228475
2023-02-26,4.2545934
2023-02-27,4.7941604
2023-02-28,4.7961545
2023-03-01,5.492616
2023-03-02,5.614483
2023-03-03,5.6778126
2023-03-04,5.8419747
2023-03-05,5.9069104
2023-03-06,6.60712
2023-03-07,6.2358913
2023-03-08,6.2700458
2023-03-09,6.2979875
2023-03-10,7.4517174
2023-03-11,7.999718
2023-03-12,8.556643
2023-03-13,9.356143
2023-03-14,9.585485
2023-03-15,9.57766
2023-03-16,8.811515
2023-03-17,8.863009
2023-03-18,8.648044
2023-03-19,9.332492
2023-03-20,10.060436
2023-03-21,10.063168
2023-03-22,9.91702
2023-03-23,9.746433
2023-03-24,9.746433
2023-03-25,9.938967
2023-03-26,10.502887
2023-03-27,10.967095
2023-03-28,11.005853
2023-03-29,11.229755
2023-03-30,11.116731
2023-03-31,11.414033
2023-04-01,9.984903
2023-04-02,10.285388
2023-04-03,10.325706
2023-04-04,10.854667
2023-04-05,11.055431
2023-04-06,11.438078
2023-04-07,11.376213
2023-04-08,11.406055
2023-04-09,11.535788
2023-04-10,12.50509
2023-04-11,12.826354
2023-04-12,13.34939
2023-04-13,13.562092
2023-04-14,14.009874
2023-04-15,14.009811
2023-04-16,13.258154
2023-04-17,13.067032
2023-04-18,13.028938
2023-04-19,14.087746
2023-04-20,14.67081
2023-04-21,15.188446
2023-04-22,15.381282
2023-04-23,15.117695
2023-04-24,15.142635
2023-04-25,15.166515
2023-04-26,15.429886
2023-04-27,15.629463
2023-04-28,15.575255
2023-04-29,15.490565
2023-04-30,15.637793
2023-05-01,15.156847
2023-05-02,15.516633
2023-05-03,15.597506
2023-05-04,15.673122
2023-05-05,15.9478855
2023-05-06,16.247227
2023-05-07,16.13728
2023-05-08,16.194149
2023-05-09,16.090338
2023-05-10,17.25237
2023-05-11,17.358376
2023-05-12,17.630995
2023-05-13,17.928007
2023-05-14,18.292818
2023-05-15,18.293049
2023-05-16,17.247717
2023-05-17,16.851217
2023-05-18,16.713602
2023-05-19,17.826685
2023-05-20,18.668991
2023-05-21,19.001411
2023-05-22,19.250198
2023-05-23,19.124228
2023-05-24,19.092623
2023-05-25,19.224695
2023-05-26,19.287931
2023-05-27,19.308714
2023-05-28,19.212118
2023-05-29,19.212118
2023-05-30,19.53575
2023-05-31,19.553719
2023-06-01,20.101528
2023-06-02,20.222406
2023-06-03,20.213205
2023-06-04,20.702885
2023-06-05,21.099901
2023-06-06,21.295832
2023-06-07,21.163836
2023-06-08,21.233147
2023-06-09,21.441217
2023-06-10,22.260025
2023-06-11,22.581161
2023-06-12,22.81273
2023-06-13,23.226849
2023-06-14,23.580711
2023-06-15,23.24324
2023-06-16,22.466925
2023-06-17,22.141542
2023-06-18,21.9088
2023-06-19,22.722393
2023-06-20,23.284578
2023-06-21,23.76492
2023-06-22,24.028444
2023-06-23,23.772112
2023-06-24,23.756897
2023-06-25,24.013014
2023-06-26,24.062878
2023-06-27,24.074999
2023-06-28,24.060255
2023-06-29,23.617907
2023-06-30,23.708694
2023-07-01,24.756004
2023-07-02,24.94807
2023-07-03,24.769493
2023-07-04,24.799694
2023-07-05,25.1726
2023-07-06,25.52539
2023-07-07,25.004782
2023-07-08,25.365757
2023-07-09,25.369965
2023-07-10,26.23525
2023-07-11,26.36425
2023-07-12,26.351368
2023-07-13,26.717617
2023-07-14,26.946352
2023-07-15,26.915415
2023-07-16,26.070913
2023-07-17,25.545761
2023-07-18,25.669207
2023-07-19,26.085823
2023-07-20,26.945765
2023-07-21,27.081911
2023-07-22,27.241964
2023-07-23,27.135542
2023-07-24,27.137903
2023-07-25,27.50007
2023-07-26,27.726631
2023-07-27,27.776281
2023-07-28,27.617542
2023-07-29,27.351366
2023-07-30,27.527235
2023-07-31,27.67037
2023-08-01,26.708847
2023-08-02,26.641594
2023-08-03,26.469805
2023-08-04,26.511848
2023-08-05,26.698889
2023-08-06,27.173935
2023-08-07,26.511848
2023-08-08,25.899464
2023-08-09,25.851383
2023-08-10,26.70146
2023-08-11,26.878252
2023-08-12,26.871933
2023-08-13,27.221867
2023-08-14,27.316427
2023-08-15,27.194263
2023-08-16,26.02928
2023-08-17,25.66774
2023-08-18,25.125586
2023-08-19,25.295738
2023-08-20,26.052399
2023-08-21,25.729742
2023-08-22,25.771687
2023-08-23,25.438622
2023-08-24,25.370178
2023-08-25,25.062366
2023-08-26,25.055548
2023-08-27,25.119387
2023-08-28,24.935936
2023-08-29,24.300331
2023-08-30,24.010485
2023-08-31,24.200924
2023-09-01,23.393797
2023-09-02,23.094067
2023-09-03,23.037909
2023-09-04,22.921394
2023-09-05,22.97653
2023-09-06,22.973804
2023-09-07,22.610693
2023-09-08,22.096073
2023-09-09,22.102467
2023-09-10,22.423313
2023-09-11,22.517
2023-09-12,22.487679
2023-09-13,22.912737
2023-09-14,22.784813
2023-09-15,22.705751
2023-09-16,21.466473
2023-09-17,21.005577
2023-09-18,20.161148
2023-09-19,20.830887
2023-09-20,21.304298
2023-09-21,21.008368
2023-09-22,20.64187
2023-09-23,20.430082
2023-09-24,20.434345
2023-09-25,20.24552
2023-09-26,20.134724
2023-09-27,19.896902
2023-09-28,19.532585
2023-09-29,18.636894
2023-09-30,18.790436
2023-10-01,17.348827
2023-10-02,17.488806
2023-10-03,17.272585
2023-10-04,17.025688
2023-10-05,17.148773
2023-10-06,16.944876
2023-10-07,16.477808
2023-10-08,15.997263
2023-10-09,15.952678
2023-10-10,16.550842
2023-10-11,16.54507
2023-10-12,16.525888
2023-10-13,16.5599
2023-10-14,16.260307
2023-10-15,16.267162
2023-10-16,15.307543
2023-10-17,14.634153
2023-10-18,13.98228
2023-10-19,14.449963
2023-10-20,14.939126
2023-10-21,14.5827
2023-10-22,14.3710375
2023-10-23,14.193295
2023-10-24,14.139206
2023-10-25,13.496485
2023-10-26,13.543352
2023-10-27,13.267696
2023-10-28,12.908848
2023-10-29,11.804804
2023-10-30,11.453657
2023-10-31,11.566957
2023-11-01,10.681382
2023-11-02,10.519978
2023-11-03,10.535148
2023-11-04,10.668508
2023-11-05,10.819474
2023-11-06,10.759786
2023-11-07,10.610467
2023-11-08,9.647077
2023-11-09,9.495337
2023-11-10,9.411035
2023-11-11,9.302475
2023-11-12,9.3786745
2023-11-13,9.3786745
2023-11-14,8.923367
2023-11-15,8.545828
2023-11-16,6.8170676
2023-11-17,6.476875
2023-11-18,5.659311
2023-11-19,5.908081
2023-11-20,6.6299305
2023-11-21,6.524676
2023-11-22,6.160051
2023-11-23,5.7732744
2023-11-24,5.744802
2023-11-25,5.042062
2023-11-26,4.9481215
2023-11-27,4.6015368
2023-11-28,4.4399652
2023-11-29,3.4188724
2023-11-30,3.251974
2023-12-01,2.051367
2023-12-02,2.576657
2023-12-03,2.4014952
2023-12-04,1.8911488
2023-12-05,1.856108
2023-12-06,1.6000316
2023-12-07,1.6761076
2023-12-08,1.2053268
2023-12-09,1.159853
2023-12-10,2.1704824
2023-12-11,2.0181124
2023-12-12,1.3740269
2023-12-13,1.4931976
2023-12-14,1.1829607
2023-12-15,1.1599345
2023-12-16,-0.19610848
2023-12-17,-0.36210075
2023-12-18,-0.9110427
2023-12-19,-0.08474358
2023-12-20,0.9477967
2023-12-21,0.9083075
2023-12-22,0.5921688
2023-12-23,0.1777752
2023-12-24,-0.31853727
