일시,평균기온
2023-01-01,-1.6031303
2023-01-02,-2.0084887
2023-01-03,-1.6861289
2023-01-04,-1.1767961
2023-01-05,-2.9822428
2023-01-06,-2.4890394
2023-01-07,-1.9271472
2023-01-08,-1.9610432
2023-01-09,-2.6025712
2023-01-10,-2.7524102
2023-01-11,-3.0070584
2023-01-12,-2.9964314
2023-01-13,-1.9554595
2023-01-14,-2.619268
2023-01-15,-2.6392891
2023-01-16,-2.593969
2023-01-17,-2.4224312
2023-01-18,-2.420512
2023-01-19,-1.7025143
2023-01-20,-1.9634955
2023-01-21,-1.5985098
2023-01-22,-1.7025143
2023-01-23,-2.0520506
2023-01-24,-2.2885365
2023-01-25,-2.8947954
2023-01-26,-2.6277442
2023-01-27,-2.0414233
2023-01-28,-1.6914816
2023-01-29,-3.022691
2023-01-30,-3.022691
2023-01-31,-1.7631977
2023-02-01,0.09303175
2023-02-02,-0.31701684
2023-02-03,-0.09628013
2023-02-04,0.32850623
2023-02-05,-0.27607137
2023-02-06,0.16630358
2023-02-07,0.23160325
2023-02-08,0.3696624
2023-02-09,-0.16209716
2023-02-10,-0.34913057
2023-02-11,-0.74975204
2023-02-12,-0.2829456
2023-02-13,0.16098095
2023-02-14,0.42616865
2023-02-15,0.3527973
2023-02-16,0.24507996
2023-02-17,0.8946639
2023-02-18,0.74031216
2023-02-19,1.1545389
2023-02-20,1.1481813
2023-02-21,1.4344455
2023-02-22,1.2161516
2023-02-23,0.91701597
2023-02-24,0.49341738
2023-02-25,0.84024155
2023-02-26,0.80322367
2023-02-27,0.9851164
2023-02-28,1.3324264
2023-03-01,5.762954
2023-03-02,5.48357
2023-03-03,5.6356416
2023-03-04,5.9949203
2023-03-05,5.310958
2023-03-06,5.426135
2023-03-07,5.852252
2023-03-08,5.9003043
2023-03-09,5.6589584
2023-03-10,5.7828455
2023-03-11,4.9568563
2023-03-12,5.38883
2023-03-13,5.900178
2023-03-14,6.0859213
2023-03-15,6.0381703
2023-03-16,5.7740326
2023-03-17,6.475996
2023-03-18,6.3129764
2023-03-19,6.831561
2023-03-20,6.843287
2023-03-21,7.213726
2023-03-22,7.043246
2023-03-23,6.8734984
2023-03-24,6.598551
2023-03-25,6.706369
2023-03-26,6.6585
2023-03-27,6.8734984
2023-03-28,7.2260747
2023-03-29,6.8905835
2023-03-30,6.9684176
2023-03-31,7.1447344
2023-04-01,11.8195305
2023-04-02,11.728567
2023-04-03,11.675354
2023-04-04,12.409073
2023-04-05,11.556236
2023-04-06,11.704134
2023-04-07,11.840825
2023-04-08,12.770898
2023-04-09,12.299274
2023-04-10,12.412158
2023-04-11,11.811104
2023-04-12,12.267337
2023-04-13,12.884913
2023-04-14,12.331109
2023-04-15,12.569736
2023-04-16,12.384333
2023-04-17,12.747621
2023-04-18,12.7409315
2023-04-19,13.330602
2023-04-20,13.305415
2023-04-21,13.746655
2023-04-22,13.63927
2023-04-23,13.357861
2023-04-24,12.889847
2023-04-25,13.134282
2023-04-26,12.979245
2023-04-27,13.393145
2023-04-28,13.757846
2023-04-29,13.209776
2023-04-30,13.547011
2023-05-01,17.669918
2023-05-02,17.572664
2023-05-03,17.661018
2023-05-04,18.291216
2023-05-05,17.570578
2023-05-06,17.707174
2023-05-07,17.769747
2023-05-08,18.38241
2023-05-09,17.687637
2023-05-10,17.71001
2023-05-11,17.484264
2023-05-12,17.657434
2023-05-13,18.133202
2023-05-14,17.706669
2023-05-15,17.83307
2023-05-16,18.02669
2023-05-17,18.492884
2023-05-18,18.50368
2023-05-19,19.149242
2023-05-20,18.968555
2023-05-21,19.614561
2023-05-22,19.437387
2023-05-23,19.015778
2023-05-24,18.805346
2023-05-25,18.93249
2023-05-26,18.935955
2023-05-27,19.149
2023-05-28,19.565884
2023-05-29,18.81772
2023-05-30,18.902998
2023-05-31,19.410803
2023-06-01,22.903
2023-06-02,22.461731
2023-06-03,22.644089
2023-06-04,23.291105
2023-06-05,22.470257
2023-06-06,22.650455
2023-06-07,22.849554
2023-06-08,22.91938
2023-06-09,22.652853
2023-06-10,22.390738
2023-06-11,21.691765
2023-06-12,22.234123
2023-06-13,22.814844
2023-06-14,22.766262
2023-06-15,22.72208
2023-06-16,22.65744
2023-06-17,22.968002
2023-06-18,23.067656
2023-06-19,23.520134
2023-06-20,23.555038
2023-06-21,23.74281
2023-06-22,23.658333
2023-06-23,23.509413
2023-06-24,23.073963
2023-06-25,23.113844
2023-06-26,22.983362
2023-06-27,23.346876
2023-06-28,23.426285
2023-06-29,22.62905
2023-06-30,22.776968
2023-07-01,25.765726
2023-07-02,25.448885
2023-07-03,25.447153
2023-07-04,26.142952
2023-07-05,25.295263
2023-07-06,25.580322
2023-07-07,25.688435
2023-07-08,25.791626
2023-07-09,25.421946
2023-07-10,25.35218
2023-07-11,24.870811
2023-07-12,25.301804
2023-07-13,25.849497
2023-07-14,25.675476
2023-07-15,25.509426
2023-07-16,25.690933
2023-07-17,26.004393
2023-07-18,26.059324
2023-07-19,26.478548
2023-07-20,26.483528
2023-07-21,26.830778
2023-07-22,26.790436
2023-07-23,26.704594
2023-07-24,26.236362
2023-07-25,25.893583
2023-07-26,25.650026
2023-07-27,26.006004
2023-07-28,26.076828
2023-07-29,25.32784
2023-07-30,25.477842
2023-07-31,26.091198
2023-08-01,27.74743
2023-08-02,27.563038
2023-08-03,27.45239
2023-08-04,27.803026
2023-08-05,26.818933
2023-08-06,26.884237
2023-08-07,26.933685
2023-08-08,27.155165
2023-08-09,26.274292
2023-08-10,26.203815
2023-08-11,25.784931
2023-08-12,25.91066
2023-08-13,26.60529
2023-08-14,26.29984
2023-08-15,26.671703
2023-08-16,26.042267
2023-08-17,26.507736
2023-08-18,26.24491
2023-08-19,26.522964
2023-08-20,26.29984
2023-08-21,26.738691
2023-08-22,26.60529
2023-08-23,26.29984
2023-08-24,25.829393
2023-08-25,25.646128
2023-08-26,25.507915
2023-08-27,25.519678
2023-08-28,25.730377
2023-08-29,24.785133
2023-08-30,25.095995
2023-08-31,25.390593
2023-09-01,23.562214
2023-09-02,23.30486
2023-09-03,23.135773
2023-09-04,23.590118
2023-09-05,22.61394
2023-09-06,22.414127
2023-09-07,22.35904
2023-09-08,22.299124
2023-09-09,21.990555
2023-09-10,21.907663
2023-09-11,21.196938
2023-09-12,21.596859
2023-09-13,22.206907
2023-09-14,21.568457
2023-09-15,21.481478
2023-09-16,20.993614
2023-09-17,21.521076
2023-09-18,21.510973
2023-09-19,21.568457
2023-09-20,21.568457
2023-09-21,21.858736
2023-09-22,21.560661
2023-09-23,21.402401
2023-09-24,20.92701
2023-09-25,20.550165
2023-09-26,20.52728
2023-09-27,20.366404
2023-09-28,20.578974
2023-09-29,19.782606
2023-09-30,20.184782
2023-10-01,17.295479
2023-10-02,17.034695
2023-10-03,16.83752
2023-10-04,17.185314
2023-10-05,16.48814
2023-10-06,16.178455
2023-10-07,15.999602
2023-10-08,15.872414
2023-10-09,15.478096
2023-10-10,15.4873085
2023-10-11,14.916459
2023-10-12,15.283826
2023-10-13,15.896254
2023-10-14,15.304385
2023-10-15,15.331423
2023-10-16,15.063901
2023-10-17,15.312017
2023-10-18,15.329821
2023-10-19,15.471879
2023-10-20,15.4659605
2023-10-21,15.633067
2023-10-22,15.305577
2023-10-23,15.164599
2023-10-24,14.566517
2023-10-25,14.265331
2023-10-26,14.182169
2023-10-27,13.753738
2023-10-28,13.820672
2023-10-29,13.339522
2023-10-30,13.46506
2023-10-31,13.241918
2023-11-01,9.759562
2023-11-02,9.281556
2023-11-03,9.229272
2023-11-04,9.855313
2023-11-05,8.847233
2023-11-06,9.18468
2023-11-07,8.873304
2023-11-08,9.038895
2023-11-09,8.234511
2023-11-10,8.629348
2023-11-11,7.407693
2023-11-12,7.6364264
2023-11-13,8.067812
2023-11-14,7.630857
2023-11-15,7.660389
2023-11-16,6.7362633
2023-11-17,7.041216
2023-11-18,7.0023584
2023-11-19,7.1330953
2023-11-20,7.066903
2023-11-21,7.3600955
2023-11-22,7.1615524
2023-11-23,7.528358
2023-11-24,6.8112297
2023-11-25,6.369947
2023-11-26,6.462868
2023-11-27,6.1233053
2023-11-28,6.295782
2023-11-29,4.876374
2023-11-30,4.760666
2023-12-01,0.8576744
2023-12-02,0.5618023
2023-12-03,0.35052383
2023-12-04,1.2343199
2023-12-05,0.04970704
2023-12-06,0.0963407
2023-12-07,0.1667726
2023-12-08,0.11450043
2023-12-09,-0.34385306
2023-12-10,-0.092681624
2023-12-11,-0.7807724
2023-12-12,-0.7806934
2023-12-13,-0.3066495
2023-12-14,-0.3327473
2023-12-15,-0.28381032
2023-12-16,-0.8547995
2023-12-17,-0.3025878
2023-12-18,-0.37671956
2023-12-19,-0.09475231
2023-12-20,0.12452978
