일시,평균기온
2023-01-01,-3.0599802
2023-01-02,-5.811186
2023-01-03,-4.635457
2023-01-04,-3.879253
2023-01-05,-2.658113
2023-01-06,-5.6238866
2023-01-07,-6.241297
2023-01-08,-6.192608
2023-01-09,-3.4138286
2023-01-10,-5.3649387
2023-01-11,1.4243267
2023-01-12,-0.23690756
2023-01-13,-2.2472787
2023-01-14,-3.4390805
2023-01-15,-4.627752
2023-01-16,-2.2108436
2023-01-17,-3.305699
2023-01-18,-4.2352443
2023-01-19,-2.386772
2023-01-20,-3.4788406
2023-01-21,-3.5161033
2023-01-22,-0.5379418
2023-01-23,3.5754087
2023-01-24,-1.138933
2023-01-25,1.162723
2023-01-26,1.0886217
2023-01-27,2.1364088
2023-01-28,-1.1903929
2023-01-29,-0.8027099
2023-01-30,-2.6045926
2023-01-31,0.21422687
2023-02-01,-1.6104807
2023-02-02,-3.1828465
2023-02-03,-2.1164815
2023-02-04,-1.1553046
2023-02-05,-0.77143335
2023-02-06,-3.6808224
2023-02-07,2.4161243
2023-02-08,-0.6378048
2023-02-09,-3.535497
2023-02-10,-2.6610951
2023-02-11,-2.049149
2023-02-12,2.1680396
2023-02-13,-0.36610082
2023-02-14,2.7138007
2023-02-15,0.1590431
2023-02-16,-0.5023526
2023-02-17,-0.47778094
2023-02-18,-0.58022577
2023-02-19,-1.784037
2023-02-20,3.2371538
2023-02-21,1.2066725
2023-02-22,2.0738888
2023-02-23,-0.36964977
2023-02-24,-1.9970728
2023-02-25,4.4047275
2023-02-26,5.7682476
2023-02-27,4.778474
2023-02-28,8.268831
2023-03-01,3.1111534
2023-03-02,5.1620493
2023-03-03,6.111395
2023-03-04,6.610712
2023-03-05,8.606621
2023-03-06,6.1914577
2023-03-07,6.466676
2023-03-08,7.046261
2023-03-09,5.9929347
2023-03-10,7.4256945
2023-03-11,6.5562387
2023-03-12,7.611652
2023-03-13,5.7041483
2023-03-14,5.9448767
2023-03-15,6.6661496
2023-03-16,9.223244
2023-03-17,9.105501
2023-03-18,10.579357
2023-03-19,6.342334
2023-03-20,8.419163
2023-03-21,8.674121
2023-03-22,7.853478
2023-03-23,10.2870455
2023-03-24,9.302974
2023-03-25,11.645455
2023-03-26,9.889022
2023-03-27,10.461509
2023-03-28,9.560635
2023-03-29,9.0769005
2023-03-30,12.515872
2023-03-31,13.428319
2023-04-01,15.794952
2023-04-02,11.841074
2023-04-03,11.969512
2023-04-04,9.958918
2023-04-05,13.059507
2023-04-06,10.244444
2023-04-07,11.754644
2023-04-08,13.047742
2023-04-09,10.470406
2023-04-10,10.263085
2023-04-11,6.7377687
2023-04-12,9.060558
2023-04-13,13.507393
2023-04-14,14.620616
2023-04-15,11.736516
2023-04-16,12.835463
2023-04-17,11.136836
2023-04-18,12.332799
2023-04-19,10.183215
2023-04-20,11.806949
2023-04-21,15.886212
2023-04-22,12.283645
2023-04-23,9.428114
2023-04-24,9.2686405
2023-04-25,15.173444
2023-04-26,14.35786
2023-04-27,12.492553
2023-04-28,11.813753
2023-04-29,13.864461
2023-04-30,18.37044
2023-05-01,18.83075
2023-05-02,16.53447
2023-05-03,18.847195
2023-05-04,17.357927
2023-05-05,17.957376
2023-05-06,15.787438
2023-05-07,17.193804
2023-05-08,18.816332
2023-05-09,18.049873
2023-05-10,16.284405
2023-05-11,17.426737
2023-05-12,16.670454
2023-05-13,18.581312
2023-05-14,18.710775
2023-05-15,17.191397
2023-05-16,18.032755
2023-05-17,16.641998
2023-05-18,18.094452
2023-05-19,18.60951
2023-05-20,17.334883
2023-05-21,17.557812
2023-05-22,18.079697
2023-05-23,19.295004
2023-05-24,18.81311
2023-05-25,19.95098
2023-05-26,17.566921
2023-05-27,16.069756
2023-05-28,19.855894
2023-05-29,22.44091
2023-05-30,20.329
2023-05-31,20.13713
2023-06-01,21.125454
2023-06-02,21.157696
2023-06-03,20.776997
2023-06-04,22.973017
2023-06-05,20.930779
2023-06-06,23.36385
2023-06-07,23.031626
2023-06-08,22.46264
2023-06-09,22.526144
2023-06-10,22.040247
2023-06-11,23.365173
2023-06-12,22.734743
2023-06-13,22.615059
2023-06-14,25.311178
2023-06-15,23.180504
2023-06-16,22.054989
2023-06-17,24.13776
2023-06-18,24.595177
2023-06-19,26.457222
2023-06-20,23.548717
2023-06-21,24.82103
2023-06-22,24.738533
2023-06-23,26.252867
2023-06-24,24.925035
2023-06-25,24.701372
2023-06-26,22.831154
2023-06-27,23.571087
2023-06-28,23.584896
2023-06-29,25.851686
2023-06-30,26.245401
2023-07-01,24.507301
2023-07-02,24.87352
2023-07-03,23.478012
2023-07-04,24.108149
2023-07-05,26.971453
2023-07-06,25.58222
2023-07-07,23.078161
2023-07-08,24.797104
2023-07-09,25.90425
2023-07-10,23.164707
2023-07-11,25.385017
2023-07-12,26.982801
2023-07-13,26.176624
2023-07-14,25.654703
2023-07-15,27.51202
2023-07-16,26.459658
2023-07-17,26.698341
2023-07-18,27.235418
2023-07-19,25.42709
2023-07-20,26.916285
2023-07-21,28.503096
2023-07-22,27.376915
2023-07-23,27.105427
2023-07-24,26.114517
2023-07-25,28.024616
2023-07-26,26.918602
2023-07-27,24.918911
2023-07-28,26.775263
2023-07-29,26.776749
2023-07-30,26.204
2023-07-31,24.830683
2023-08-01,26.887768
2023-08-02,27.729391
2023-08-03,27.405006
2023-08-04,26.720343
2023-08-05,26.017475
2023-08-06,27.239113
2023-08-07,25.925589
2023-08-08,27.935217
2023-08-09,26.492619
2023-08-10,26.829107
2023-08-11,26.15281
2023-08-12,27.41196
2023-08-13,25.721378
2023-08-14,26.197622
2023-08-15,26.263409
2023-08-16,26.53205
2023-08-17,27.413446
2023-08-18,27.492615
2023-08-19,26.462439
2023-08-20,25.79676
2023-08-21,26.788525
2023-08-22,26.095411
2023-08-23,25.850359
2023-08-24,25.934124
2023-08-25,26.248518
2023-08-26,25.314331
2023-08-27,24.999493
2023-08-28,25.058336
2023-08-29,25.129757
2023-08-30,26.099161
2023-08-31,25.333994
2023-09-01,25.192392
2023-09-02,23.034977
2023-09-03,22.849106
2023-09-04,24.004572
2023-09-05,24.153051
2023-09-06,23.766708
2023-09-07,24.034916
2023-09-08,24.390524
2023-09-09,23.895123
2023-09-10,23.183674
2023-09-11,22.96689
2023-09-12,23.276333
2023-09-13,22.373404
2023-09-14,22.308426
2023-09-15,21.843138
2023-09-16,23.122942
2023-09-17,22.773434
2023-09-18,22.480526
2023-09-19,21.571379
2023-09-20,22.332151
2023-09-21,21.573381
2023-09-22,20.865639
2023-09-23,20.004179
2023-09-24,20.5812
2023-09-25,21.752401
2023-09-26,21.58956
2023-09-27,20.990484
2023-09-28,20.977247
2023-09-29,20.71466
2023-09-30,20.233812
2023-10-01,19.214203
2023-10-02,18.457695
2023-10-03,21.629961
2023-10-04,20.196627
2023-10-05,21.458418
2023-10-06,18.022392
2023-10-07,19.355612
2023-10-08,19.660603
2023-10-09,13.067306
2023-10-10,16.861042
2023-10-11,14.776039
2023-10-12,16.2727
2023-10-13,17.099852
2023-10-14,17.450546
2023-10-15,15.263472
2023-10-16,13.502144
2023-10-17,14.786561
2023-10-18,13.097675
2023-10-19,9.20033
2023-10-20,10.058299
2023-10-21,12.190328
2023-10-22,11.81963
2023-10-23,13.866071
2023-10-24,13.978789
2023-10-25,12.781673
2023-10-26,12.74943
