최고기온,최저기온,일교차,강수량,평균습도,평균풍속,일조합,일사합,일조율,평균기온,월,ds
2.2,-5.2,7.4,0.34,68.3,1.7,6.7,7.029000000000001,63.1,-1.6,1.0,1960-01-01
1.2,-5.6,6.8,0.4,87.7,1.3,0.0,2.887,4.1899999999999995,-1.9,1.0,1960-01-02
8.7,-2.1,10.8,0.0,81.3,3.0,0.0,5.854,12.870000000000001,4.0,1.0,1960-01-03
10.8,1.2,9.6,0.0,79.7,4.4,2.6,6.279000000000001,21.55,7.5,1.0,1960-01-04
1.3,-8.2,9.5,0.05,44.0,5.1,8.2,13.086000000000002,81.51,-4.6,1.0,1960-01-05
-1.2,-9.5,8.3,0.0,51.3,1.8,7.7,10.153,76.54999999999998,-5.2,1.0,1960-01-06
6.0,-3.5,9.5,0.1,74.0,1.3,1.9,4.058999999999999,13.389999999999997,1.3,1.0,1960-01-07
3.6,0.2,3.4,0.0,85.0,0.4,0.0,2.7489999999999997,1.5699999999999998,1.9,1.0,1960-01-08
4.8,0.1,4.7,1.2,91.3,0.3,0.0,2.413,0.55,2.3,1.0,1960-01-09
4.2,-0.5,4.7,0.1,82.7,0.7,0.0,3.0,2.05,2.2,1.0,1960-01-10
2.6,-5.4,8.0,0.49000000000000005,50.3,4.1,8.2,12.779,80.82000000000001,-2.3,1.0,1960-01-11
1.2,-7.6,8.8,0.0,57.3,2.3,4.9,8.134,53.720000000000006,-3.8,1.0,1960-01-12
1.6,-9.1,10.7,0.04,39.0,1.4,6.7,9.894,75.89,-2.8,1.0,1960-01-13
2.4,-6.7,9.1,0.4,55.7,2.6,6.0,8.059999999999999,62.989999999999995,-1.5,1.0,1960-01-14
-2.2,-8.2,6.0,0.0,70.7,0.7,0.0,3.682,8.09,-4.8,1.0,1960-01-15
-1.2,-8.7,7.5,0.0,71.0,3.2,1.4,4.893,17.52,-5.0,1.0,1960-01-16
-1.1,-9.9,8.8,0.18,40.3,2.3,7.0,10.577,79.99000000000001,-5.3,1.0,1960-01-17
0.5,-7.2,7.7,0.0,62.0,1.9,0.0,4.365,10.5,-2.5,1.0,1960-01-18
6.7,-1.6,8.3,0.33999999999999997,70.0,0.9,5.7,7.210000000000001,57.14,2.1,1.0,1960-01-19
1.7,-3.4,5.1,0.0,77.0,3.4,0.3,3.5660000000000003,3.8899999999999997,-0.5,1.0,1960-01-20
-3.4,-9.9,6.5,0.2,49.3,3.7,7.0,8.629999999999999,73.75000000000001,-6.1,1.0,1960-01-21
-4.9,-12.6,7.7,0.06,53.0,3.7,8.7,11.151,81.86999999999999,-9.5,1.0,1960-01-22
-9.6,-15.8,6.2,0.04,45.3,4.0,7.7,11.610999999999999,81.66999999999999,-13.1,1.0,1960-01-23
-8.0,-17.0,9.0,0.18,38.7,2.1,9.1,10.962,87.97999999999999,-12.5,1.0,1960-01-24
-0.4,-15.3,14.9,2.2,60.0,1.7,6.9,9.392000000000001,73.00000000000001,-7.3,1.0,1960-01-25
-3.8,-12.2,8.4,0.1,57.0,2.0,8.1,11.748000000000001,80.53999999999999,-7.2,1.0,1960-01-26
-7.6,-14.8,7.2,0.1,60.3,4.3,8.6,11.003000000000002,81.87,-10.5,1.0,1960-01-27
-7.0,-15.3,8.3,0.04,56.3,1.9,9.5,11.549000000000001,82.23,-11.0,1.0,1960-01-28
-2.0,-14.6,12.6,0.48,66.0,1.2,8.3,8.346,69.97999999999999,-7.5,1.0,1960-01-29
5.2,-6.4,11.6,0.45,67.0,1.4,7.1,9.247,70.41,-0.2,1.0,1960-01-30
6.2,-0.2,6.4,0.0,67.7,1.1,1.6,4.866999999999999,13.020000000000001,2.6,1.0,1960-01-31
6.2,-2.2,8.4,0.6599999999999999,76.3,1.4,4.8,7.313,42.220000000000006,0.8,2.0,1960-02-01
6.6,-4.7,11.3,0.51,71.0,0.6,5.2,7.508,55.14,1.2,2.0,1960-02-02
5.8,-1.7,7.5,0.37,60.0,2.5,7.8,11.024000000000001,69.59,1.2,2.0,1960-02-03
2.6,-4.7,7.3,0.6700000000000002,56.0,3.0,7.7,10.008,73.53999999999999,-1.2,2.0,1960-02-04
6.5,-6.5,13.0,0.8400000000000001,71.0,1.7,6.3,9.041,75.16,1.3,2.0,1960-02-05
12.0,0.9,11.1,2.25,68.0,4.4,7.8,13.648,66.74999999999999,6.7,2.0,1960-02-06
13.1,5.3,7.8,4.890000000000001,75.7,1.8,4.5,9.604999999999999,38.39,9.2,2.0,1960-02-07
13.7,6.6,7.1,0.0,81.3,1.3,0.8,5.929,10.290000000000001,9.1,2.0,1960-02-08
6.9,-1.5,8.4,2.3,79.7,4.3,2.9,6.299,27.8,2.9,2.0,1960-02-09
0.4,-5.7,6.1,0.030000000000000006,49.0,3.2,9.6,13.135,83.38999999999999,-3.1,2.0,1960-02-10
-0.5,-6.1,5.6,0.16,48.0,2.5,6.0,10.831999999999999,60.239999999999995,-3.3,2.0,1960-02-11
0.3,-8.6,8.9,0.030000000000000006,44.0,2.4,9.4,13.617,87.86,-4.1,2.0,1960-02-12
4.7,-3.7,8.4,0.7,81.3,3.4,0.6,4.053999999999999,10.739999999999998,0.6,2.0,1960-02-13
3.0,-3.7,6.7,0.030000000000000006,41.7,3.6,8.5,13.504,82.66999999999999,-0.8,2.0,1960-02-14
5.0,-5.5,10.5,0.02,38.0,1.2,9.0,12.049,84.24000000000001,-1.1,2.0,1960-02-15
5.2,-6.0,11.2,0.41,59.0,1.4,5.3,9.547,60.18000000000001,-0.4,2.0,1960-02-16
7.0,-2.6,9.6,0.1,61.0,2.9,3.0,6.705,26.939999999999998,1.8,2.0,1960-02-17
2.8,-6.0,8.8,0.39,56.0,3.2,9.3,10.925,81.47,-1.3,2.0,1960-02-18
8.5,-3.6,12.1,3.3099999999999996,68.0,3.8,9.4,13.043000000000001,81.18,3.4,2.0,1960-02-19
6.6,-0.8,7.4,0.0,77.0,4.3,0.0,5.2620000000000005,7.609999999999999,3.4,2.0,1960-02-20
4.5,-3.0,7.5,0.0,50.0,4.2,8.9,15.272,84.15,0.2,2.0,1960-02-21
5.9,-5.1,11.0,0.30999999999999994,67.0,1.7,8.6,11.589,75.97,0.3,2.0,1960-02-22
8.4,-4.0,12.4,1.46,74.7,1.4,8.9,11.581999999999997,74.79999999999998,2.3,2.0,1960-02-23
8.4,-1.2,9.6,3.4899999999999998,75.7,0.9,2.3,6.824000000000001,25.729999999999997,3.7,2.0,1960-02-24
6.7,1.2,5.5,0.9,85.7,1.8,0.0,2.75,3.5099999999999993,4.9,2.0,1960-02-25
